First Name,Surname,Reserve Price (Rs. Lakh),Country,Age,Role ,Test caps,ODI caps,T20 caps,IPL,Previous IPL Team(s),2022 Team,IPL 2022 Appearances,C/U/A
Mayank,Agarwal,100,India,32,BATSMAN,21,5,,113,"RCB, DD, RPSG, PBKS",PBKS,13,Capped
Piyush,Chawla,50,India,34,BOWLER,3,25,7,165," KXIP, KKR, CSK, MI",,,Capped
Kedar,Jadhav,100,India,38,ALL-ROUNDER,,73,9,93,"DD,KTK,RCB,CSK,SRH",,,Capped
Dhawal,Kulkarni,50,India,34,BOWLER,,12,2,92,"MI,GL,RR",,,Capped
Mayank,Markande,50,India,25,BOWLER,,,1,20,"RR, MI",MI,2,Capped
Amit,Mishra,50,India,40,BOWLER,22,36,10,154," DCH, SRH, DC",,,Capped
Shahbaz,Nadeem,50,India,33,BOWLER,2,,,72,"SRH, DD, RCB, LSG",LSG,0,Capped
Karun,Nair,50,India,31,BATSMAN,6,2,,76,"RCB, DD, KXIP, KKR, RR",RR,3,Capped
Pawan,Negi,50,India,30,ALL-ROUNDER,,,1,50,"CSK, RCB, DD, KKR",,,Capped
Manish,Pandey,100,India,33,BATSMAN,,29,39,160,"MI, RCB,PWI, KKR, SRH, LSG",LSG,6,Capped
Ajinkya,Rahane,50,India,34,BATSMAN,82,90,20,158,"MI, RPSG, RR, DC, KKR",KKR,7,Capped
Mohit,Sharma,50,India,34,BOWLER,,26,8,86,"KXIP,CSK,DC",,,Capped
Sandeep,Sharma,50,India,29,BOWLER,,,2,104,"SRH, PBKS",PBKS,5,Capped
Ishant,Sharma,75,India,34,BOWLER,105,80,14,93,"KKR, DCH, SRH, RPSG, KXIP, DC",,,Capped
Gurkeerat,Singh,50,India,32,BATSMAN,,3,,41,"KXIP, DD, RCB, KKR, GT",GT,0,Capped
Mandeep,Singh,50,India,31,BATSMAN,,,3,108,"KKR, RCB, PBKS, DC",DC,3,Capped
Barinder,Sran,50,India,30,BOWLER,,6,2,24,"RR, SRH, KXIP, MI",,,Capped
Jaydev,Unadkat,50,India,31,BOWLER,1,7,10,91,"KKR, RCB, DD, RPS, RR, MI",MI,5,Capped
Sandeep,Warrier,50,India,32,ALL-ROUNDER,,,1,5,KKR,,,Capped
Qais,Ahmad,50,Afghanistan,22,ALL-ROUNDER,1,1,2,,,,,Capped
Fareed ,Ahmad,50,Afghanistan,28,BOWLER,,11,22,,,,,Capped
Sharafuddin,Ashraf,50,Afghanistan,28,ALL-ROUNDER,,19,13,,,,,Capped
Naveen Ul,Haq,50,Afghanistan,23,BOWLER,,7,22,,,,,Capped
Amir,Hotak,50,Afghanistan,31,ALL-ROUNDER,3,31,33,,,,,Capped
Karim,Janat,50,Afghanistan,24,ALL-ROUNDER,,1,41,,,,,Capped
Mohammad ,Nabi,100,Afghanistan,38,ALL-ROUNDER,3,135,104,17,"SRH, KKR",KKR,0,Capped
Abdul Wasi,Noori,50,Afghanistan,20,BOWLER,1,,,,,,,Capped
Mujeeb,Rahman,100,Afghanistan,22,BOWLER,1,54,36,19,"KXIP, SRH",,,Capped
Waqar,Salamkheil,50,Afghanistan,21,BOWLER,1,,,,,,,Capped
Sayed ,Shirzad,50,Afghanistan,28,BOWLER,1,2,4,,,,,Capped
Hazratullah,Zazai,50,Afghanistan,25,BATSMAN,,16,34,,,,,Capped
Sean,Abbott,150,Australia,31,ALL-ROUNDER,,7,9,3," RCB, SRH",SRH,1,Capped
Wesley,Agar,50,Australia,26,ALL-ROUNDER,,2,,,,,,Capped
Cameron,Bancroft,50,Australia,30,WICKETKEEPER,10,,1,,,,,Capped
Cameron,Boyce,50,Australia,33,BOWLER,,,7,,,,,Capped
Hilton,Cartwright,50,Australia,31,ALL-ROUNDER,2,2,,,,,,Capped
Nathan,Coulter-Nile,200,Australia,35,BOWLER,,32,28,39," MI,DD, RCB, KKR, RR", RR,1,Capped
Ben,Cutting,75,Australia,36,ALL-ROUNDER,,4,7,21,"RR, SRH, MI, KKR",,,Capped
Ben,Dwarshuis,50,Australia,28,BOWLER,,,1,0,"KXIP, DC",,,Capped
Cameron,Green,200,Australia,23,ALL-ROUNDER,14,13,8,,,,,Capped
Peter,Handscomb,50,Australia,31,WICKETKEEPER,16,22,2,2, RPSG,,,Capped
Travis,Head,200,Australia,29,BATSMAN,28,51,17,10,RCB,,,Capped
Sam,Heazlett,50,Australia,27,BATSMAN,,1,,,,,,Capped
Moises,Henriques,100,Australia,36,ALL-ROUNDER,4,16,24,62,"KKR, DD, RCB, SRH, PBKS",,,Capped
Matthew,Kuhnemann,50,Australia,26,BOWLER,,4,,,,,,Capped
Chris,Lynn,200,Australia,32,BATSMAN,,4,18,42,"DCH, KKR, MI",,,Capped
