name1,name2,reason
Pratham Singh,Pratyush Singh,Different players (DOB 1992 vs 1994)
M Ashwin,R Ashwin,Murugan Ashwin vs Ravichandran Ashwin
Dwayne Smith,Odean Smith,Different players
Jayant Yadav,Mayank Yadav,Different players
Jayant Yadav,Sanjay Yadav,Different players
Mandeep Singh,Ramandeep Singh,Different players
Ankit Sharma,Karan Sharma,Different players
Ankit Sharma,Karn Sharma,Different players
Ankit Sharma,Kartik Sharma,Different players
Karan Sharma,Karn Sharma,Different players
Karan Sharma,Kartik Sharma,Different players
Karn Sharma,Kartik Sharma,Different players
Anmolpreet Singh,Anureet Singh,Different players
Brijesh Sharma,Jitesh Sharma,Different players
Mayank Agarwal,Tanmay Agarwal,Different players
Mohit Sharma,Rohit Sharma,Different players
Mukesh Choudhary,Mukul Choudhary,Different players
Anmolpreet Singh,Anunay Singh,Different players
Anunay Singh,Anureet Singh,Different players
Prabhsimran Singh,Pratham Singh,Different players (DOB 2000 vs 1992)
Rahul Sharma,Rohit Sharma,Different players (Bowler vs Batsman)
Mangesh Yadav,Mayank Yadav,Different players
Ravi Singh,Rinku Singh,Different players
Sanvir Singh,Swapnil Singh,Different players
Virat Singh,Vivek Singh,Different players
Mangesh Yadav,Umesh Yadav,Different players
Ravi Singh,Virat Singh,Different players
