player_id,canonical_name,aliases
P0001,A Ashish Reddy,A Ashish Reddy|Ashish Reddy
P0002,Ayush Badoni,A Badoni|Ayush Badoni
P0003,A Chandila,A Chandila
P0004,A Chopra,A Chopra
P0005,Anil Kumble,A Kumble|Anil Kumble
P0006,A Manohar,A Manohar
P0007,A Mishra,A Mishra|Amit Mishra
P0008,Ashish Nehra,A Nehra|Ashish Nehra
P0009,A Nortje,A Nortje
P0010,Amit Singh,A Singh|Amit Singh
P0011,Andrew Symonds,A Symonds|Andrew Symonds
P0012,A Zampa,A Zampa
P0013,AA Bilakhia,AA Bilakhia
P0014,Ankeet Chavan,AA Chavan|Ankeet Chavan|Ankit Chavan
P0015,Ajit Agarkar,AB Agarkar|Ajit Agarkar
P0016,AB Dinda,AB Dinda|Ashok Dinda
P0017,AB McDonald,AB McDonald
P0018,AB de Villiers,AB de Villiers
P0019,AC Blizzard,AC Blizzard
P0020,AC Gilchrist,AC Gilchrist|Adam Gilchrist
P0021,AC Thomas,AC Thomas
P0022,AD Mascarenhas,AD Mascarenhas|Dimitri Mascarenhas
P0023,Angelo Mathews,AD Mathews|Angelo Mathews
P0024,AD Nath,AD Nath
P0025,AD Russell,AD Russell|Andre Russell
P0026,AG Murtaza,AG Murtaza
P0027,AJ Finch,AJ Finch
P0028,AJ Tye,AJ Tye
P0029,Aiden Markram,AK Markram|Aiden Markram
P0030,AL Menaria,AL Menaria
P0031,AM Nayar,AM Nayar
P0032,AM Rahane,AM Rahane|Ajinkya Rahane
P0033,AN Ahmed,AN Ahmed
P0034,AP Tare,AP Tare
P0035,AR Patel,AR Patel|Ansh Patel
P0036,AS Joseph,AS Joseph
P0037,AS Raut,AS Raut
P0038,AS Roy,AS Roy
P0039,AT Rayudu,AT Rayudu|Ambati Rayudu
P0040,AUK Pathan,AUK Pathan
P0041,Aaron Finch,Aaron Finch
P0042,Abdul Samad,Abdul Samad
P0043,Abhijeet Tomar,Abhijeet Tomar
P0044,Abhimanyu Mithun,Abhimanyu Mithun
P0045,Abhinav Sadarangani,Abhinav Sadarangani
P0046,Abhishek Jhunjhunwala,Abhishek Jhunjhunwala
P0047,Abhishek Nayar,Abhishek Nayar
P0048,Abhishek Porel,Abhishek Porel
P0049,Abhishek Sharma,Abhishek Sharma
P0050,Abu Nechim Ahmed,Abu Nechim Ahmed
P0051,Adam Milne,Adam Milne
P0052,Adam Voges,Adam Voges
P0053,Adam Zampa,Adam Zampa
P0054,Adil Rashid,Adil Rashid
P0055,Aditya Garhwal,Aditya Garhwal
P0056,Aditya Tare,Aditya Tare
P0057,Agnivesh Ayachi,Agnivesh Ayachi
P0058,Aiden Blizzard,Aiden Blizzard
P0059,Ajantha Mendis,Ajantha Mendis|BAW Mendis
P0060,Ajay Dev Goud,Ajay Dev Goud
P0061,Ajay Mandal,Ajay Mandal
P0062,Akash Deep,Akash Deep
P0063,Akash Singh,Akash Singh
P0064,Akash Vashisht,Akash Vashisht
P0065,Akeal Hosein,Akeal Hosein
P0066,Akhil Arvind Herwadkar,Akhil Arvind Herwadkar
P0067,Akila Dananjaya,Akila Dananjaya
P0068,Akila Dhananjaya,Akila Dhananjaya
P0069,Akshar Rajesh Patel,Akshar Rajesh Patel|Axar Rajesh Patel
P0070,Akshat Raghuwanshi,Akshat Raghuwanshi
P0071,Akshay Karnewar,Akshay Karnewar
P0072,Akshay Wakhare,Akshay Wakhare
P0073,Akshdeep Nath,Akshdeep Nath
P0074,Albie Morkel,Albie Morkel|JA Morkel
P0075,Alex Carey,Alex Carey
P0076,Alex Hales,Alex Hales
P0077,Alfonso Thomas,Alfonso Thomas
P0078,Alzarri Joseph,Alzarri Joseph
P0079,Aman Khan,Aman Khan
P0080,Aman Rao,Aman Rao
P0081,Amit Kumar,Amit Kumar
P0082,Amit Paunikar,Amit Paunikar
P0083,Anand Rajan,Anand Rajan
P0084,Andrew Flintoff,Andrew Flintoff
P0085,Andrew McDonald,Andrew McDonald
P0086,Andrew Tye,Andrew Tye
P0087,Aneeshwar Gautam,Aneeshwar Gautam
P0088,Aniket Choudhary,Aniket Choudhary
P0089,Anirudha Ashok Joshi,Anirudha Ashok Joshi
P0090,Anirudha Srikkanth,Anirudha Srikkanth
P0091,Ankeet Bawane,Ankeet Bawane
P0092,Ankit Sharma,Ankit Nagendra Sharma|Ankit Sharma
P0093,Ankit Singh Rajpoot,Ankit Rajpoot|Ankit Singh Rajpoot
P0094,Ankush Bains,Ankush Bains
P0095,Anmolpreet Singh,Anmolpreet Singh|Anunay Singh|Anureet Singh
P0096,Anrich Nortje,Anrich Nortje
P0097,Anuj Rawat,Anuj Rawat
P0098,Anukul Roy,Anukul Roy
P0099,Apoorv Vijay Wankhade,Apoorv Vijay Wankhade
P0100,Arjun Tendulkar,Arjun Tendulkar
P0101,Armaan Jaffer,Armaan Jaffer
P0102,Arshdeep Singh,Arshdeep Singh
P0103,Arun Karthik,Arun Karthik
P0104,Aryaman Vikram Birla,Aryaman Vikram Birla
P0105,Aryan Juyal,Aryan Juyal
P0106,Asela Gunarathna,Asela Gunarathna
P0107,Ashok Sharma,Ashok Sharma
P0108,Ashton Turner,Ashton Turner
P0109,Ashwin Hebbar,Ashwin Hebbar
P0110,Asif K M,Asif K M
P0111,Atharva Ankolekar,Atharva Ankolekar
P0112,Atharva Taide,Atharva Taide
P0113,Atit Sheth,Atit Sheth
P0114,Auqib Nabi,Auqib Nabi
P0115,Avesh Khan,Avesh Khan
P0116,Avi Barot,Avi Barot
P0117,Avinash Singh,Avinash Singh
P0118,Axar Patel,Axar Patel
P0119,Azhar Mahmood,Azhar Mahmood
P0120,B Akhil,B Akhil
P0121,B Chipli,B Chipli
