Set No.,2023 Set,First Name,Surname,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,TEAM,Auction_Price
1,BA1,Mayank,Agarwal,India,KSCA,16/02/1991,32,BATSMAN,RHB,RIGHT ARM Off Spin,21,5,0,113,"RCB, DD, RPSG, PBKS",PBKS,13,Capped,100,SRH,825.0
1,BA1,Harry,Brook,England,F,22/02/1999,24,BATSMAN,RHB,RIGHT ARM Medium,1,0,20,0,Do No Play,Do No Play,0,Capped,150,SRH,1325.0
1,BA1,Ajinkya,Rahane,India,MCA,06/06/1988,34,BATSMAN,RHB,-,82,90,20,158,"MI, RPSG, RR, DC, KKR",KKR,7,Capped,50,CSK,50.0
1,BA1,Joe,Root,England,F,30/12/1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,124,158,32,0,Do No Play,Do No Play,0,Capped,100,RR,100.0
1,BA1,Rilee,Rossouw,South Africa,F,09/10/1989,33,BATSMAN,LHB,-,0,36,26,5,RCB,Do No Play,0,Capped,200,DC,459.99999999999994
1,BA1,Kane,Williamson,New Zealand,F,08/08/1990,32,BATSMAN,RHB,-,88,155,87,76,SRH,SRH,13,Capped,200,GT,200.0
2,AL1,Sam,Curran,England,F,03/06/1998,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,24,18,35,32,"KXIP, CSK",Do No Play,0,Capped,200,PBKS,1850.0
2,AL1,Cameron,Green,Australia,F,03/06/1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,14,13,8,0,Do No Play,Do No Play,0,Capped,200,MI,1750.0
2,AL1,Shakib Al,Hasan,Bangladesh,F,24/03/1987,36,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,63,221,109,71,"KKR, SRH",Do No Play,0,Capped,150,KKR,150.0
2,AL1,Jason,Holder,West Indies,F,05/11/1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,56,131,49,38,"CSK, KKR, SRH, LSG",LSG,12,Capped,200,RR,575.0
2,AL1,Sikandar,Raza,Zimbabwe,F,24/04/1986,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17,123,66,0,Do No Play,Do No Play,0,Capped,50,PBKS,50.0
2,AL1,Odean,Smith,West Indies,F,01/11/1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,5,24,6,PBKS,PBKS,6,Capped,50,GT,50.0
2,AL1,Ben,Stokes,England,F,04/06/1991,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,86,105,43,43,"RPSG, RR",Do No Play,0,Capped,200,CSK,1625.0
3,WK1,Tom,Banton,England,F,11/11/1998,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,6,14,2,KKR,Do No Play,0,Capped,200,UnSold,0.0
3,WK1,Litton,Das,Bangladesh,F,13/10/1994,28,WICKETKEEPER,RHB,-,35,57,65,0,Do No Play,Do No Play,0,Capped,50,KKR,50.0
3,WK1,Heinrich,Klaasen,South Africa,F,30/07/1991,31,WICKETKEEPER,RHB,-,1,30,38,7,"RCB, RR",Do No Play,0,Capped,100,SRH,525.0
3,WK1,Kusal,Mendis,Sri Lanka,F,02/02/1995,28,WICKETKEEPER,RHB,-,54,87,49,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
3,WK1,Nicholas,Pooran,West Indies,F,02/10/1995,27,WICKETKEEPER,LHB,-,0,52,72,47,"PBKS, SRH",SRH,14,Capped,200,LSG,1600.0
3,WK1,Phil,Salt,England,F,28/08/1996,26,WICKETKEEPER,RHB,-,0,11,13,0,Do No Play,Do No Play,0,Capped,200,DC,200.0
4,FA1,Chris,Jordan,England,F,04/10/1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,8,35,84,28,"RCB, SRH, PBKS, CSK",CSK,4,Capped,200,UnSold,0.0
4,FA1,Adam,Milne,New Zealand,F,13/04/1992,30,BOWLER,RHB,RIGHT ARM Fast,0,41,35,10,"MI, RCB, CSK",CSK,1,Capped,200,UnSold,0.0
4,FA1,Jhye,Richardson,Australia,F,20/09/1996,26,BOWLER,RHB,RIGHT ARM Fast,3,15,18,3,PBKS,Do No Play,0,Capped,150,MI,150.0
4,FA1,Ishant,Sharma,India,DDCA,02/09/1988,34,BOWLER,RHB,RIGHT ARM Fast,105,80,14,93,"KKR, DCH, SRH, RPSG, KXIP, DC",Do No Play,0,Capped,50,DC,50.0
4,FA1,Reece,Topley,England,F,21/02/1994,29,BOWLER,RHB,LEFT ARM Fast,0,20,22,0,Do No Play,Do No Play,0,Capped,75,RCB,190.0
4,FA1,Jaydev,Unadkat,India,SCA,18/10/1991,31,BOWLER,RHB,LEFT ARM Fast Medium,1,7,10,91,"KKR, RCB, DD, RPS, RR, MI",MI,5,Capped,50,LSG,50.0
5,SP1,Akeal,Hosein,West Indies,F,25/04/1993,29,BOWLER,LHB,LEFT ARM Slow Orthodox,0,29,32,0,Do No Play,Do No Play,0,Capped,100,SRH,100.0
5,SP1,Mayank,Markande,India,PCA,11/11/1997,25,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,1,20,"RR, MI",MI,2,Capped,50,SRH,50.0
5,SP1,Mujeeb,Rahman,Afghanistan,F,28/03/2001,22,BOWLER,RHB,RIGHT ARM Off Spin,1,54,36,19,"KXIP, SRH",Do No Play,0,Capped,100,UnSold,0.0
