player_name,first_year,last_year,appearances,first_team,estimated_price_lakh
A Chopra,2009,2009,1,KKR,
AM Nayar,2009,2012,3,MI,
B Akhil,2009,2009,1,RCB,
DB Ravi Teja,2009,2012,2,DCH,
K Goel,2009,2010,2,PBKS,
L Ronchi,2009,2009,1,MI,
LR Shukla,2009,2013,4,KKR,
M Rawat,2009,2009,1,RR,
MF Maharoof,2009,2010,2,DC,
MS Gony,2009,2012,2,CSK,
NK Patel,2009,2009,1,RR,
PJ Sangwan,2009,2010,2,DC,
PR Shah,2009,2009,1,MI,
R Bhatia,2009,2017,6,DC,
RR Raje,2009,2009,1,MI,
S Sohal,2009,2009,1,PBKS,
SK Trivedi,2009,2013,4,RR,
SP Goswami,2009,2010,2,RCB,
TM Srivastava,2009,2009,1,PBKS,
WA Mota,2009,2009,1,PBKS,
Y Venugopal Rao,2009,2012,3,DCH,
A Nehra,2010,2010,1,DC,
AA Bilakhia,2010,2010,1,DCH,
AB McDonald,2010,2010,1,DC,
AS Raut,2010,2010,1,RR,
BAW Mendis,2010,2010,1,KKR,
DL Vettori,2010,2012,2,DC,
DR Smith,2010,2017,4,DCH,
GJ Bailey,2010,2015,2,CSK,
KP Appanna,2010,2010,1,RCB,
KP Pietersen,2010,2010,1,RCB,
M Manhas,2010,2013,3,DC,
NV Ojha,2010,2017,6,RR,
RJ Harris,2010,2013,3,DCH,
T Thushara,2010,2010,1,CSK,
TL Suman,2010,2012,2,DCH,
VRV Singh,2010,2010,1,Unknown,
VY Mahesh,2010,2010,1,Unknown,
Y Nagar,2010,2012,2,DC,
Stephen O'Keefe,2011,2011,1,KTK,
AC Blizzard,2012,2012,1,MI,
AC Thomas,2012,2012,1,PUNE,
AJ Finch,2012,2017,2,DC,
AL Menaria,2012,2013,2,RR,
AUK Pathan,2012,2012,1,RCB,
Anand Rajan,2012,2013,2,Unknown,
B Chipli,2012,2012,1,DCH,
BA Bhatt,2012,2012,1,PBKS,
CA Pujara,2012,2013,2,RCB,
CJ Ferguson,2012,2012,1,PUNE,
DE Bollinger,2012,2012,1,CSK,
DH Yagnik,2012,2013,2,RR,
DJ Jacobs,2012,2012,1,MI,
IR Jaggi,2012,2012,1,DCH,
Iqbal Abdulla,2012,2017,4,KKR,
J Botha,2012,2012,1,RR,
J Syed Mohammed,2012,2013,2,RCB,
JD Ryder,2012,2012,1,PUNE,
JD Unadkat,2012,2021,5,Unknown,
M Kaif,2012,2012,1,RCB,
MD Mishra,2012,2012,1,PUNE,
MS Bisla,2012,2013,2,KKR,
PC Valthaty,2012,2013,2,PBKS,
S Anirudha,2012,2013,2,CSK,
S Aravind,2012,2012,1,RCB,
S Nadeem,2012,2021,6,DC,
SD Chitnis,2012,2012,1,PBKS,
VR Aaron,2012,2020,3,DC,
WD Parnell,2012,2013,2,PUNE,
A Chandila,2013,2013,1,RR,
AG Murtaza,2013,2013,1,PUNE,
AN Ahmed,2013,2015,2,Unknown,
DB Das,2013,2013,1,KKR,
K Upadhyay,2013,2013,1,PUNE,
KK Cooper,2013,2013,1,RR,
MN Samuels,2013,2013,1,PUNE,
AP Tare,2015,2015,1,MI,
CJ Anderson,2015,2015,1,MI,
HV Patel,2015,2023,5,RCB,
IC Pandey,2015,2015,1,Unknown,
JP Faulkner,2015,2017,2,RR,
KK Nair,2015,2020,4,RR,
KM Jadhav,2015,2020,4,DC,
KV Sharma,2015,2023,5,SRH,
LMP Simmons,2015,2017,3,MI,
M Vohra,2015,2017,3,PBKS,
MC Henriques,2015,2017,3,SRH,
MM Sharma,2015,2017,2,CSK,
P Suyal,2015,2015,1,Unknown,
PV Tambe,2015,2015,1,RR,
RR Rossouw,2015,2015,1,RCB,
S Gopal,2015,2021,5,MI,
YS Chahal,2015,2021,4,RCB,
D Wiese,2016,2016,1,RCB,
EJG Morgan,2016,2021,2,SRH,
MJ McClenaghan,2016,2019,3,MI,
NM Coulter-Nile,2016,2021,2,DC,
