year,player_name,team_x,base_price_lakh,final_price_lakh,role,nationality,status,source,matches_played,team_y,bat_innings,runs,balls_faced,fours,sixes,bat_dots,dismissals,highest_score,not_outs,fifties,hundreds,batting_avg,batting_sr,bowl_innings,overs,balls_bowled,runs_conceded,wickets,bowl_dots,wides,no_balls,fours_conceded,sixes_conceded,bowling_avg,economy,bowling_sr,four_wickets,five_wickets,best_figures,catches,run_outs,stumpings,season,player,batting_war,bowling_war,total_war,inflation_factor,price_2024_lakh,base_price_2024_lakh,price_2024_cr,price_nominal_cr
2008,MS Dhoni,CSK,,950.0,Wicket-Keeper,Indian,SOLD,manual_2008,14.0,Chennai Super Kings,14.0,414.0,319.0,38.0,15.0,124.0,10.0,65.0,4.0,2.0,0.0,41.4,129.7805642633229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,4.0,0.0,2008.0,MS Dhoni,13.719200350682913,0.0,13.719200350682913,2.7762803234501345,2637.466307277628,,26.37466307277628,9.5
2008,Andrew Symonds,DCH,,650.0,All-Rounder,Overseas,SOLD,manual_2008,3.0,Deccan Chargers,3.0,161.0,111.0,15.0,9.0,47.0,2.0,117.0,1.0,0.0,1.0,80.5,145.04504504504504,3.0,6.5,41.0,106.0,0.0,9.0,2.0,1.0,6.0,9.0,0.0,15.51219512195122,0.0,0.0,0.0,0/24,3.0,0.0,0.0,2008.0,A Symonds,6.89171234772979,-5.2417277316397985,1.6499846160899914,2.7762803234501345,1804.5822102425875,,18.045822102425873,6.5
2008,Sanath Jayasuriya,MI,,575.0,All-Rounder,Overseas,SOLD,manual_2008,14.0,Mumbai Indians,14.0,514.0,333.0,57.0,31.0,162.0,12.0,114.0,2.0,2.0,1.0,42.833333333333336,154.35435435435437,8.0,21.0,126.0,163.0,4.0,36.0,1.0,0.0,10.0,6.0,40.75,7.761904761904762,31.5,0.0,0.0,3/14,2.0,3.0,0.0,2008.0,ST Jayasuriya,24.550137043189373,2.7397858654942233,27.289922908683597,2.7762803234501345,1596.3611859838275,,15.963611859838274,5.75
2008,Ishant Sharma,KKR,,550.0,Bowler,Indian,SOLD,manual_2008,5.0,Kolkata Knight Riders,5.0,11.0,11.0,1.0,0.0,5.0,1.0,4.0,4.0,0.0,0.0,11.0,100.0,13.0,41.7,253.0,348.0,7.0,110.0,9.0,4.0,44.0,5.0,49.714285714285715,8.25296442687747,36.142857142857146,0.0,0.0,1/13,2.0,0.0,0.0,2008.0,I Sharma,0.06359311554079,4.913645985995771,4.977239101536561,2.7762803234501345,1526.954177897574,,15.269541778975741,5.5
2008,Mahela Jayawardene,DC,,525.0,Batsman,Overseas,SOLD,manual_2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7762803234501345,1457.5471698113206,,14.575471698113207,5.25
2008,RP Singh,DCH,,375.0,Bowler,Indian,SOLD,manual_2008,9.0,Deccan Chargers,9.0,27.0,25.0,2.0,1.0,9.0,4.0,10.0,5.0,0.0,0.0,6.75,108.0,14.0,50.8,308.0,459.0,15.0,122.0,16.0,1.0,56.0,12.0,30.6,8.941558441558442,20.533333333333335,0.0,0.0,3/35,5.0,1.0,0.0,2008.0,RP Singh,0.3945298080472499,1.7770110731151334,2.1715408811623833,2.7762803234501345,1041.1051212938005,,10.411051212938006,3.75
2008,Irfan Pathan,PBKS,,350.0,All-Rounder,Indian,SOLD,manual_2008,10.0,Kings XI Punjab,10.0,131.0,120.0,9.0,6.0,56.0,6.0,40.0,4.0,0.0,0.0,21.833333333333332,109.16666666666666,14.0,52.6,318.0,361.0,15.0,150.0,18.0,0.0,32.0,13.0,24.066666666666663,6.811320754716981,21.2,0.0,0.0,2/47,4.0,2.0,0.0,2008.0,IK Pathan,2.068743078626799,16.029079140205184,18.097822218831983,2.7762803234501345,971.6981132075471,,9.716981132075471,3.5
2008,Robin Uthappa,MI,,300.0,Batsman,Indian,SOLD,manual_2008,14.0,Mumbai Indians,14.0,320.0,291.0,34.0,9.0,133.0,9.0,48.0,5.0,0.0,0.0,35.55555555555556,109.96563573883162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,1.0,0.0,2008.0,RV Uthappa,5.3073269656699935,0.0,5.3073269656699935,2.7762803234501345,832.8840970350403,,8.328840970350404,3.0
2008,Gautam Gambhir,DC,,275.0,Batsman,Indian,SOLD,manual_2008,14.0,Delhi Daredevils,14.0,534.0,394.0,68.0,8.0,134.0,13.0,86.0,1.0,5.0,0.0,41.07692307692308,135.53299492385787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2008.0,G Gambhir,19.77778977482466,0.0,19.77778977482466,2.7762803234501345,763.477088948787,,7.6347708894878705,2.75
2008,S Sreesanth,PBKS,,275.0,Bowler,Indian,SOLD,manual_2008,2.0,Kings XI Punjab,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,51.1,307.0,451.0,19.0,132.0,21.0,4.0,53.0,11.0,23.73684210526316,8.814332247557005,16.157894736842106,0.0,0.0,3/30,2.0,0.0,0.0,2008.0,S Sreesanth,-0.35765642303433,4.05105438853608,3.6933979655017506,2.7762803234501345,763.477088948787,,7.6347708894878705,2.75
2008,Yusuf Pathan,RR,,215.0,All-Rounder,Indian,SOLD,manual_2008,15.0,Rajasthan Royals,15.0,435.0,253.0,43.0,25.0,89.0,14.0,68.0,1.0,4.0,0.0,31.071428571428573,171.93675889328065,13.0,28.1,169.0,233.0,8.0,59.0,1.0,0.0,11.0,16.0,29.125,8.272189349112425,21.125,0.0,0.0,3/22,3.0,2.0,0.0,2008.0,YK Pathan,24.21264165743817,1.8160519459371436,26.028693603375313,2.7762803234501345,596.9002695417789,,5.969002695417789,2.15
2008,Praveen Kumar,RCB,,200.0,Bowler,Indian,SOLD,manual_2008,12.0,Royal Challengers Bangalore,12.0,112.0,100.0,10.0,6.0,53.0,10.0,34.0,2.0,0.0,0.0,11.2,112.0,13.0,44.4,268.0,376.0,11.0,109.0,7.0,0.0,36.0,16.0,34.18181818181818,8.417910447761194,24.363636363636363,0.0,0.0,3/24,2.0,0.0,0.0,2008.0,P Kumar,2.0781192321889996,3.051701677251266,5.129820909440266,2.7762803234501345,555.256064690027,,5.55256064690027,2.0
2008,Shikhar Dhawan,DC,,200.0,Batsman,Indian,SOLD,manual_2008,14.0,Delhi Daredevils,14.0,340.0,308.0,35.0,8.0,134.0,9.0,68.0,5.0,4.0,0.0,37.77777777777778,110.3896103896104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,2008.0,S Dhawan,5.780607235142121,0.0,5.780607235142121,2.7762803234501345,555.256064690027,,5.55256064690027,2.0
2008,Zaheer Khan,RCB,,200.0,Bowler,Indian,SOLD,manual_2008,7.0,Royal Challengers Bangalore,7.0,34.0,43.0,4.0,0.0,22.0,4.0,17.0,3.0,0.0,0.0,8.5,79.06976744186046,11.0,42.0,252.0,369.0,13.0,100.0,6.0,0.0,50.0,7.0,28.384615384615383,8.785714285714286,19.384615384615383,0.0,0.0,3/39,1.0,1.0,0.0,2008.0,Z Khan,-0.8764087301587304,0.83259648265755,-0.0438122475011804,2.7762803234501345,555.256064690027,,5.55256064690027,2.0
2008,Harbhajan Singh,MI,,175.0,Bowler,Indian,SOLD,manual_2008,3.0,Mumbai Indians,3.0,30.0,17.0,1.0,3.0,6.0,2.0,28.0,1.0,0.0,0.0,15.0,176.47058823529412,3.0,10.0,60.0,84.0,5.0,16.0,2.0,0.0,6.0,3.0,16.8,8.4,12.0,0.0,0.0,3/33,1.0,2.0,0.0,2008.0,Harbhajan Singh,1.72328026947213,0.7843836508711952,2.507663920343325,2.7762803234501345,485.84905660377353,,4.8584905660377355,1.75
2008,Munaf Patel,RR,,175.0,Bowler,Indian,SOLD,manual_2008,1.0,Rajasthan Royals,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,55.0,330.0,423.0,14.0,141.0,5.0,1.0,48.0,12.0,30.214285714285715,7.690909090909091,23.571428571428573,0.0,0.0,3/17,2.0,1.0,0.0,2008.0,MM Patel,-0.11921880767811,8.279079140205184,8.159860332527074,2.7762803234501345,485.84905660377353,,4.8584905660377355,1.75
2008,Piyush Chawla,PBKS,,175.0,Bowler,Indian,SOLD,manual_2008,7.0,Kings XI Punjab,7.0,90.0,61.0,10.0,3.0,25.0,4.0,24.0,3.0,0.0,0.0,22.5,147.54098360655738,15.0,46.5,281.0,396.0,17.0,110.0,5.0,0.0,28.0,21.0,23.294117647058822,8.455516014234876,16.529411764705884,0.0,0.0,3/28,5.0,2.0,0.0,2008.0,PP Chawla,3.977652731635289,2.5537697443413165,6.531422475976606,2.7762803234501345,485.84905660377353,,4.8584905660377355,1.75
2008,Pragyan Ojha,DCH,,175.0,Bowler,Indian,SOLD,manual_2008,3.0,Deccan Chargers,3.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,50.0,12.0,37.0,222.0,299.0,11.0,70.0,14.0,0.0,19.0,11.0,27.181818181818183,8.08108108108108,20.181818181818183,0.0,0.0,2/20,3.0,0.0,0.0,2008.0,PP Ojha,-0.22687523071244,5.578460348477456,5.351585117765016,2.7762803234501345,485.84905660377353,,4.8584905660377355,1.75
2008,Ravindra Jadeja,RR,,175.0,All-Rounder,Indian,SOLD,manual_2008,9.0,Rajasthan Royals,9.0,135.0,108.0,11.0,6.0,46.0,7.0,36.0,2.0,0.0,0.0,19.285714285714285,125.0,2.0,2.1,13.0,21.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,9.692307692307692,0.0,0.0,0.0,0/21,8.0,4.0,0.0,2008.0,RA Jadeja,3.99936877076412,-0.2589195570753948,3.740449213688725,2.7762803234501345,485.84905660377353,,4.8584905660377355,1.75
2008,Daniel Vettori,DC,,150.0,All-Rounder,Overseas,SOLD,manual_2008,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,48.0,54.0,2.0,16.0,0.0,0.0,4.0,2.0,27.0,6.75,24.0,0.0,0.0,1/35,0.0,0.0,0.0,2008.0,DL Vettori,0.0,1.986297020029312,1.986297020029312,2.7762803234501345,416.44204851752016,,4.164420485175202,1.5
2008,Mohammad Kaif,RR,,150.0,Batsman,Indian,SOLD,manual_2008,14.0,Rajasthan Royals,14.0,176.0,176.0,14.0,6.0,87.0,11.0,34.0,3.0,0.0,0.0,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,2008.0,M Kaif,1.017489848652641,0.0,1.017489848652641,2.7762803234501345,416.44204851752016,,4.164420485175202,1.5
2008,Rohit Sharma,DCH,,148.0,Batsman,Indian,SOLD,manual_2008,12.0,Deccan Chargers,12.0,404.0,276.0,38.0,19.0,100.0,11.0,76.0,1.0,4.0,0.0,36.72727272727273,146.3768115942029,1.0,4.0,24.0,26.0,1.0,6.0,1.0,0.0,2.0,0.0,26.0,6.5,24.0,0.0,0.0,1/26,8.0,0.0,0.0,2008.0,RG Sharma,17.59560908084164,1.3001546979319336,18.895763778773578,2.7762803234501345,410.8894878706199,,4.108894878706199,1.48
2008,Glenn McGrath,DC,,147.5,Bowler,Overseas,SOLD,manual_2008,2.0,Delhi Daredevils,2.0,4.0,5.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,4.0,80.0,14.0,54.0,324.0,366.0,12.0,153.0,4.0,1.0,41.0,10.0,30.5,6.777777777777778,27.0,1.0,0.0,4/29,2.0,0.0,0.0,2008.0,GD McGrath,-0.09609403839055,14.130035824784244,14.033941786393694,2.7762803234501345,409.50134770889485,,4.095013477088949,1.475
2008,Adam Gilchrist,DCH,,125.0,Wicket-Keeper,Overseas,SOLD,manual_2008,14.0,Deccan Chargers,14.0,436.0,328.0,51.0,19.0,153.0,13.0,109.0,1.0,3.0,1.0,33.53846153846154,132.9268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,1.0,2008.0,AC Gilchrist,15.39623108157992,0.0,15.39623108157992,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Anil Kumble,RCB,,125.0,Bowler,Indian,SOLD,manual_2008,4.0,Royal Challengers Bangalore,4.0,13.0,17.0,1.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0,6.5,76.47058823529412,10.0,38.2,230.0,314.0,7.0,85.0,6.0,0.0,27.0,14.0,44.857142857142854,8.191304347826087,32.857142857142854,0.0,0.0,3/15,3.0,0.0,0.0,2008.0,A Kumble,-0.4017197305278701,3.703460348477456,3.3017406179495863,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Brett Lee,KKR,,125.0,Bowler,Overseas,SOLD,manual_2008,3.0,Kings XI Punjab,3.0,17.0,14.0,2.0,1.0,8.0,1.0,16.0,2.0,0.0,0.0,17.0,121.42857142857142,4.0,16.0,96.0,118.0,4.0,44.0,0.0,3.0,16.0,2.0,29.5,7.375,24.0,0.0,0.0,1/36,1.0,1.0,0.0,2008.0,B Lee,0.4559366925064601,3.268612603810457,3.724549296316917,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Chris Gayle,KKR,,125.0,Batsman,Overseas,SOLD,manual_2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Graeme Smith,RR,,125.0,Batsman,Overseas,SOLD,manual_2008,11.0,Rajasthan Royals,11.0,441.0,375.0,54.0,8.0,158.0,9.0,91.0,2.0,3.0,0.0,49.0,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2008.0,GC Smith,10.417947120708751,0.0,10.417947120708751,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Jacques Kallis,RCB,,125.0,All-Rounder,Overseas,SOLD,manual_2008,11.0,Royal Challengers Bangalore,11.0,199.0,188.0,23.0,4.0,82.0,11.0,54.0,0.0,1.0,0.0,18.09090909090909,105.85106382978724,11.0,34.2,206.0,322.0,4.0,55.0,5.0,0.0,33.0,9.0,80.5,9.378640776699028,51.5,0.0,0.0,2/39,3.0,0.0,0.0,2008.0,JH Kallis,2.461864156515322,-1.846694349454488,0.615169807060834,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
2008,Joginder Sharma,CSK,,125.0,All-Rounder,Indian,SOLD,manual_2008,2.0,Chennai Super Kings,2.0,16.0,11.0,1.0,1.0,3.0,2.0,16.0,0.0,0.0,0.0,8.0,145.45454545454547,7.0,24.4,148.0,241.0,8.0,43.0,5.0,5.0,19.0,11.0,30.125,9.77027027027027,18.5,0.0,0.0,2/29,4.0,2.0,0.0,2008.0,Joginder Sharma,0.6885931155407901,-1.3680223090701844,-0.6794291935293943,2.7762803234501345,347.0350404312668,,3.470350404312668,1.25
