cricsheet_id,ipl_name
2e0fcc58,AG Wharf
e6ef687d,NA Patwardhan
a3e3d8a4,Navdeep Singh
0dcc9a8c,PM Joshi
4bacee3d,V Narayan Kutty
c109497d,A Bengeri
d1c36f5c,JJ Roy
e1d41d9e,Nitin Menon
eb90d319,Shakti Singh
b9aa2b6e,Tapan Sharma
a7a49df4,VK Sharma
883e3818,AM Saheba
cb4b3ab0,GAV Baxter
323e4c16,HDPK Dharmasena
bad31fac,J Srinath
bda8cca8,KH Hurter
d872f52a,LA Carseldine
c24a2c5d,S Tyagi
c8179c68,SB Jakati
63bff7f9,SM Harwood
fdcc6236,AK Chaudhary
76752ac8,MA Gough
012de9c4,CK Nandan
20672246,RK Illingworth
766b5798,RS Madugalle
8fe0c4f8,VA Kulkarni
bde6e9ef,AV Jayaprakash
26457e41,BG Jerling
5b445db0,CH Lloyd
ee7d0c82,GD McGrath
2498e163,JR Hopes
0265fab2,RE Koertzen
622cc511,U Kaul
c15e2193,FY Fazal
6ec424a9,ND Doshi
0c432afb,P Parameswaran
ddb00822,P Prasanth
c9354f29,PR Reiffel
38810cfc,RJ Tucker
57910393,RS Mahanama
b04524bc,S Asnani
addfb70e,SW Tait
bae11797,Y Gnaneswara Rao
685d3f80,AJ Pycroft
c1add349,BNJ Oxenford
0f9d921b,C Shamshuddin
3de870ce,R Risodkar
ff8c3cfb,BK Ravi
c995d726,CA Ingram
75224f22,KMA Paul
b7bccddb,M Nayyar
9b9ee0df,S Ravi
b90f3346,YC Barde
d5ac41d8,CB Gaffaney
0be62e31,GR Sadashiv Iyer
8275b04a,J Madanagopal
a9da7784,KJ Abbott
0f12f9df,NLTC Perera
3144063a,KN Ananthapadmanabhan
54b6007b,MV Saidharshan Kumar
23cca426,OF Smith
245c97cb,TS Mills
43dd4011,UV Gandhe
efc0a862,BF Bowden
0ec08b27,DJ Harper
6529ee42,FM Engineer
cf7c5778,GA Pratapkumar
0d232ffd,MA Khote
6ad3a659,P Amarnath
88fccd6c,SM Pollock
38f2c66c,VS Yeligati
f3171936,BW Hilfenhaus
8e088dbc,GF Labrooy
042a8b69,K Srinivasan
c27b5a0e,PVSN Raju
f848ab0b,Prakash Bhatt
bafd0398,R Minz
e66732f8,RD Rickelton
d014d5ac,SE Rutherford
a3357a27,Vinod Seshan
8b4c4069,D Govindjee
3f2996c9,EC Hendrikse
369c85c1,SD Ranade
6a6be119,TH Wijewardene
5f26df4f,VS Malik
4353bba5,YA Abdulla
297b26da,Yashpal Singh
94eac556,CJ McKay
9f772ec5,PG Pathak
18c78b11,RE Levi
62a824b4,SK Tarapore
59ec9638,Abhijit Bhattacharya
5750bcb4,E Malinga
aa2a4962,K Swaroopanand
eaa90ab4,P Dharmani
3d284ca3,PD Salt
c5aef772,R Shepherd
c740ea83,RM Patidar
eade4650,DJ Mitchell
caf69bf7,DR Sams
f02778d1,Aleem Dar
9219eff0,JDS Neesham
7e47c743,K Bharatan
90edaaa9,S Rana
9333bc07,GR Viswanath
15d3c895,M Erasmus
790e14d3,MR Benson
23ac69e6,RJ Quiney
0604ef16,SB Bangar
13fc5c6d,DS Rathi
89087a0d,RB Tiffin
b2570b38,RV Gomez
475e38b6,S Das
166e5081,SS Hazare
dec8e038,J Theron
861606b7,Asad Rauf
f1375866,S Dua
c404f58a,DP Nannes
a7c226e1,FH Edwards
b0419f8c,JD Cloete
8a668774,Shoaib Ahmed
b1d7d7bc,A Totre
0479de6b,Mohamad Rafi
e84ac20c,MJ Henry
bc19a37f,Sanjay Verma
1558d83b,GS Sandhu
7d2a4250,RM Deshpande
fcc21ace,A Kamboj
b35f3ac8,DS Manohar
350bb1b1,AF Milne
2efc430e,AY Dandekar
b9be6507,AS Yadav
cbebf805,BR Doctrove
acd4f5dc,DP Vijaykumar
53ef012d,SL Shastri
1df4131e,Talat Ali
6fda55cc,A Deshmukh
d8b2f218,BB Sran
2be41edb,MJ Guptill
11614d87,D Pretorius
