year,player
2008,DS Kulkarni
2008,LA Pomersbach
2008,A Chopra
2008,LR Shukla
2008,B Chipli
2008,RR Raje
2008,DB Das
2008,DB Ravi Teja
2008,JDP Oram
2008,WA Mota
2008,SK Trivedi
2008,VRV Singh
2008,BAW Mendis
2008,Pankaj Singh
2008,L Ronchi
2008,AD Mascarenhas
2008,DR Smith
2008,S Anirudha
2008,MS Gony
2008,WPUJC Vaas
2008,R Vinay Kumar
2008,AM Rahane
2008,SD Chitnis
2008,Y Venugopal Rao
2008,YV Takawale
2008,B Akhil
2008,TM Srivastava
2008,M Manhas
2008,SA Asnodkar
2008,PJ Sangwan
2008,VY Mahesh
2008,NK Patel
2008,S Sohal
2008,MK Tiwary
2008,PR Shah
2008,R Bhatia
2008,M Rawat
2008,K Goel
2008,BJ Hodge
2008,Iqbal Abdulla
2008,DJ Bravo
2008,AM Nayar
2008,MF Maharoof
2008,L Balaji
2008,A Mishra
2008,AB Dinda
2008,SP Goswami
2009,DW Steyn
2009,T Thushara
2009,M Muralitharan
2009,VVS Laxman
2009,DS Kulkarni
2009,LA Pomersbach
2009,AS Raut
2009,DJ Hussey
2009,A Chopra
2009,LR Shukla
2009,RR Raje
2009,S Badrinath
2009,NV Ojha
2009,GJ Bailey
2009,KP Pietersen
2009,AB McDonald
2009,V Kohli
2009,GC Smith
2009,IK Pathan
2009,RV Uthappa
2009,Jaskaran Singh
2009,DB Ravi Teja
2009,JD Ryder
2009,JDP Oram
2009,I Sharma
2009,AA Bilakhia
2009,SK Raina
2009,RJ Harris
2009,SK Warne
2009,MV Boucher
2009,WA Mota
2009,SK Trivedi
2009,VRV Singh
2009,MS Dhoni
2009,BAW Mendis
2009,SM Katich
2009,J Botha
2009,M Morkel
2009,R Dravid
2009,RE van der Merwe
2009,CH Gayle
2009,RG Sharma
2009,SR Tendulkar
2009,RS Bopara
2009,Mashrafe Mortaza
2009,A Nehra
2009,TM Dilshan
2009,JA Morkel
2009,M Vijay
2009,Pankaj Singh
2009,L Ronchi
2009,A Symonds
2009,PP Ojha
2009,JH Kallis
2009,P Kumar
2009,JP Duminy
2009,AD Mathews
2009,AD Mascarenhas
2009,DPMD Jayawardene
2009,S Dhawan
2009,DR Smith
2009,MS Gony
2009,WPUJC Vaas
2009,BB McCullum
2009,YK Pathan
2009,R Vinay Kumar
2009,AM Rahane
2009,W Jaffer
2009,SD Chitnis
2009,MK Pandey
2009,Harbhajan Singh
2009,M Kartik
2009,S Sreesanth
2009,Y Venugopal Rao
2009,YV Takawale
2009,RA Jadeja
2009,KV Sharma
2009,SS Tiwary
2009,A Kumble
2009,AB Agarkar
2009,RR Powar
2009,R Bishnoi
2009,A Singh
2009,R Ashwin
2009,AC Gilchrist
2009,B Lee
