year,auction_name
2008,Chris Gayle
2008,Lasith Malinga
2008,Ambati Rayudu
2013,Michael Clarke
2013,Jesse Ryder
2013,Fidel Edwards
2013,Pankaj Singh
2013,Clinton McKay
2013,Nathan McCullum
2013,Philip Hughes
2013,Sudeep Tyagi
2013,Christopher Barnwell
2013,Jeevan Mendis
2013,Akila Dananjaya
2014,Thisara Perera
2014,Gurkeerat Singh Mann
2014,Jalaj Saxena
2014,Saurabh Tiwary
2014,Josh Hazlewood
2014,Deepak Hooda
2014,Kuldeep Yadav
2014,Veer Pratap Singh
2014,Brendan Taylor
2014,Matt Henry
2014,Prasanth Parameswaran
2014,Amit Paunikar
2014,Anureet Singh
2014,Ashish Reddy
2014,Debabrata Das
2014,Shardul Thakur
2014,Ankush Bains
2014,Baba Aparajith
2014,Chama Milind
2014,HS Sharath
2014,Jayant Yadav
2014,Manprit Juneja
2014,Milind Kumar
2014,Ricky Bhui
2014,Ronit More
2014,Sandeep Warrier
2014,Sayan Sekhar Mandal
2014,Sushant Marathe
2014,Tanmay Mishra
2015,Kevin Pietersen
2015,Irfan Pathan
2015,Domnic Joseph Muthuswamy
2015,Adam Milne
2015,James Neesham
2015,Abhimanyu Mithun
2015,Aiden Blizzard
2015,Kyle Abbott
2015,Laxmi Ratan Shukla
2015,Nikhil Shankar Naik
2015,Subramaniam Badrinath
2015,Travis Head
2015,Aditya Garhwal
2015,Marcus Stoinis
2015,Andrew Tye
2015,Sheldon Jackson
2015,Akshay Wakhare
2015,Ankush Bains
2015,Barinder Singh Saran
2015,Dinesh Salunkhe
2015,Eklavya Dwivedi
2015,Jalaj Saxena
2015,K K Jiyaz
2015,Kona Srikar Bharat
2015,Nitish Rana
2015,Pardeep Sahu
2015,Prasanth Padmanabhan
2015,Pratyush Singh
2015,Sagar Trivedi
2015,Shishir Bhavane
2015,Siddarth Kaul
2015,Siddhesh Dinesh Lad
2015,Sumit Narwal
2015,Vaibhav Rawal
2015,Yogesh Gowalkar
2016,Nathu Singh
2016,Kishore Pramod Kamath
2016,Andrew Tye
2016,Samuel Badree
2016,Praveen Dubey
2016,Abhimanyu Mithun
2016,Joel Paris
2016,Ishwar Chandra Pandey
2016,Jaydev Shah
2016,Vikramjeet Malik
2016,Akhil Arvind Herwadkar
2016,Akshay Karnewar
2016,Ankush Bains
2016,Armaan Jaffer
2016,Baba Aparajith
2016,Chama Milind
2016,Deepak Punia
2016,Jitesh Sharma
2016,Mahipal Lomror
2016,Manan Ajay Sharma
2016,Paras Dogra
2016,Pawan Suyal
2016,Pratyush Singh
2016,Syed Khaleel Ahmed
2016,Tirumalasetti Suman
2016,Umang Sharma
2016,Vikas Tokas
2017,Krishnappa Gowtham
2017,M Ashwin
2017,Eklavya Dwivedi
2017,Asela Gunarathna
2017,Ben Laughlin
2017,Darren Sammy
2017,Nicolas Pooran
2017,Ankeet Bawane
2017,Chirag Suri
2017,Kulwant Khejroliya
2017,Milind Tandon
2017,Navdeep Saini
2017,Pratham Singh
2017,Praveen Dubey
2017,Pravin Tambe
2017,R Sanjay Yadav
2017,Rinku Singh
2017,Saurabh Kumar
2017,Sayan Ghosh
2017,Shashank Singh
2017,Shelley Shaurya
2017,Shubam Agrawal
2017,Tanmay Agarwal
2018,David Warner
2018,Steve Smith
2018,Mitchell Starc
2018,Pat Cummins
2018,Kagiso Rabada
2018,Kamlesh Nagarkoti
2018,Navdeep Saini
2018,Syed Khaleel Ahmed
2018,Nathan Coulter-Nile
2018,Jason Behrendorff
2018,Ben Dwarshuis
2018,Saurabh Tiwary
2018,Gurkeerat Singh Mann
2018,Zahir Khan Pakteen
2018,Tajinder Dhillon
2018,Dushmantha Chameera
2018,Jayant Yadav
2018,Mitchell Santner
2018,Asif K M
2018,T Natarajan
2018,Aniket Choudhary
2018,Aryaman Vikram Birla
2018,Cameron Delport
2018,Javon Searless
2018,Anirudha Ashok Joshi
2018,Anukul Roy
2018,Apoorv Vijay Wankhade
2018,Bipul Sharma
2018,Chaitanya Bishnoi
2018,Ishank Jaggi
2018,Jatin Saxena
2018,Kanishk Seth
2018,Manjot Kalra
2018,Manzoor Dar
2018,Mayank Dagar
2018,Midhun S
2018,Mohsin Khan
2018,Monu Singh
2018,N Jagadeesan
2018,Nidheesh M D Dinesan
2018,Pardeep Sahu
2018,Pavan Deshpande
2018,Sachin Baby
2018,Sayan Ghosh
2018,Sharad Lumba
2018,Siddhesh Dinesh Lad
2018,Syed Mehdi Hasan
2019,Hardus Viljoen
2019,Himmat Singh
2019,Darshan Nalkande
2019,Shashank Singh
2019,Agnivesh Ayachi
2019,Ankush Bains
2019,Anrich Nortje
2019,Bandaru Ayyappa
2019,Devdutt Padikkal
2019,Jalaj Saxena
2019,Manan Vohra
2019,Nathu Singh
2019,Pankaj Jaswal
2019,Prithvi Raj Yarra
2019,Ruturaj Gaikwad
2019,Shrikant Mundhe
2019,Shubham Ranjane
2020,Kane Richardson
2020,Chris Lynn
2020,Virat Singh
2020,Chris Woakes
2020,Jason Roy
2020,Anuj Rawat
2020,Fabian Allen
2020,Oshane Thomas
2020,Akash Singh
2020,Anirudha Ashok Joshi
2020,Digvijay Deshmukh
2020,M Siddharth
2020,Mohsin Khan
2020,Pavan Deshpande
2020,Pravin Tambe
2020,Prince Balwant Rai Singh
2020,R Sai Kishore
2020,Sandeep Bavanaka
2020,Tajinder Dhillon
2021,Sam Billings
2021,Umesh Yadav
2021,Ben Cutting
2021,Cheteshwar Pujara
2021,Pawan Negi
2021,Arjun Tendulkar
2021,C Hari Nishaanth
2021,K Bhagath Varma
2021,K C Cariappa
2021,Lukman Hussain Meriwala
2021,M Harisankar Reddy
2021,M Siddharth
2021,Mohammed Azharudeen
2021,Saurabh Kumar
2021,Sheldon Jackson
2021,Suyash Prabhudesai
2021,Vaibhav Arora
2021,Vishnu Vinod
2021,Yudhvir Charak
2022,Deepak Chahar
2022,Wanindu Hasaranga
2022,Jofra Archer
2022,Mark Wood
2022,Syed Khaleel Ahmed
2022,Abhinav Sadarangani
2022,Jason Roy
2022,Jayant Yadav
2022,Alex Hales
2022,Glenn Phillips
2022,Rajvardhan Hangargekar
2022,Dominic Drakes
2022,Mohammed Nabi
2022,Rassie Van Der Dussen
2022,Jason Behrendorff
2022,Ashok Sharma
2022,Ankit Singh Rajpoot
2022,Chamika Karunaratne
2022,Gurkeerat Singh
2022,Gurkeerat Singh Mann
2022,Kyle Mayers
2022,Lungisani Ngidi
2022,Pravin Dubey
2022,Shahbaz Nadeem
2022,Vishnu Vinod
2022,Yash Dhull
2022,Benny Howell
2022,Arjun Tendulkar
2022,K C Cariappa
2022,Noor Ahmad
2022,Chama Milind
2022,Ishan Porel
2022,Aneeshwar Gautam
2022,Anunay Singh
2022,Aryan Juyal
2022,Ashwin Hebbar
2022,Atharva Taide
2022,Baltej Dhanda
2022,C Hari Nishaanth
2022,Dhruv Jurel
2022,K Bhagath Varma
2022,K M Asif
2022,Luvnith Sisodia
2022,Mohammed Arshad Khan
2022,Pratham Singh
2022,R Samarth
2022,Rahul Buddhi
2022,Ramesh Kumar
2022,Saurabh Dubey
2022,Shubham Garhwal
2022,Subhranshu Senapati
2022,Tejas Baroka
2022,Vicky Ostwal
2022,Writtick Chatterjee
2023,Will Jacks
2023,Kane Williamson
2023,Jhye Richardson
2023,Shakib Al Hasan
2023,Kyle Jamieson
2023,Rajan Kumar
2023,Avinash Singh
2023,Nishant Sindhu
2023,Odean Smith
2023,Harpreet Bhatia
2023,Ajay Mandal
2023,Akash Vashisht
2023,Bhagath Varma
2023,Kunal Rathore
2023,Manoj Bhandage
2023,Samarth Vyas
2023,Shams Mulani
2023,Urvil Patel
2023,Vidwath Kaverappa
2023,Yudhvir Charak
2024,Shivam Mavi
2024,Dilshan Madushanka
2024,Chris Woakes
2024,Harry Brook
