year,player_id,player_name,team,final_price_lakh,log_price,ipl_war_lag1,ipl_war_lag2,ipl_war_lag3,ipl_career_war,ipl_seasons_played,ipl_matches_lag1,t20i_war_12m,t20i_war_24m,t20i_career_war,ipl_war_trend,ipl_war_avg_3y,is_indian,is_mega_auction,is_retained,role_batsman,role_bowler,role_allrounder,role_wk,nationality,role,status,next_season_war
2008,P0004,A Chopra,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-1.3070344222960504
2008,P0007,A Mishra,DC,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,4.504571191344493
2008,P0015,AB Agarkar,KKR,,,,,,,,,0.5441627642847158,1.5123445824665336,1.5123445824665336,,,0,1,1,0,0,0,0,,,RETAINED,5.110317993875201
2008,P0016,AB Dinda,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,11.11464080902051
2008,P0018,AB de Villiers,DC,100.0,4.605170185988092,,,,,,,1.3110250494396831,1.568283113955812,1.568283113955812,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,-0.0468807678110003
2008,P0032,AM Nayar,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,8.022195390151305
2008,P0020,Adam Gilchrist,DCH,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,0,1,Overseas,Wicket-Keeper,SOLD,
2008,P0070,Ajinkya Rahane,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,
2008,P0015,Ajit Agarkar,KKR,100.0,4.605170185988092,,,,,,,,,,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,
2008,P0086,Albie Morkel,CSK,30.0,3.4011973816621555,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0096,Ambati Rayudu,MI,30.0,3.4011973816621555,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0102,Andrew Symonds,DCH,650.0,6.476972362889683,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0110,Anil Kumble,RCB,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0136,Ashish Nehra,MI,100.0,4.605170185988092,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0157,B Akhil,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,3.7956478856145983
2008,P0158,B Chipli,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-1.0765642303433005
2008,P0166,BAW Mendis,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,1.368148510014656
2008,P0170,BJ Hodge,KKR,,,,,,,,,2.8755635981245735,,2.8755635981245735,,,0,1,1,0,0,0,0,,,RETAINED,-0.6459385382059804
2008,P0167,Brendon McCullum,KKR,30.0,3.4011973816621555,,,,,,,,,,,,0,1,0,0,0,0,1,Overseas,Wicket-Keeper,SOLD,
2008,P0204,Brett Lee,KKR,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,
2008,P0219,CL White,RCB,,,,,,,,,3.7202900318753978,,3.7202900318753978,,,0,1,1,0,0,0,0,,,RETAINED,0.0060685092193908
2008,P0225,Cameron White,RCB,75.0,4.31748811353631,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0236,Chris Gayle,KKR,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0254,DB Das,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,1.5492132705795498
2008,P0255,DB Ravi Teja,DCH,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,3.300475602367978
2008,P0270,DS Kulkarni,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,3.100474537506652
2008,P0274,Dale Steyn,RCB,57.5,4.051784947803305,,,,,,,,,,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,
2008,P0278,Daniel Vettori,DC,150.0,5.0106352940962555,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
