ipl_name,cricsheet_id
AG Wharf,2e0fcc58
AK Markram,6a26221c
Abdul Samad,8e514b4c
Abhishek Sharma,f29185a1
Arshdeep Singh,244048f6
Ashutosh Sharma,84d9c311
B Kumar,2e81a32d
H Klaasen,235c2bb6
HV Patel,f986ca1a
Harpreet Brar,c05edf8e
JD Unadkat,1e66c162
JM Bairstow,abb83e27
JM Sharma,800d2d97
K Rabada,e62dd25d
NA Patwardhan,e6ef687d
Navdeep Singh,a3e3d8a4
Nithish Kumar Reddy,aad0c365
P Simran Singh,9418198b
PJ Cummins,ded9240e
PM Joshi,0dcc9a8c
RA Tripathi,77255a9e
S Dhawan,0a476045
SM Curran,e94915e6
Shahbaz Ahmed,f9e6e7ef
Shashank Singh,26989d80
Sikandar Raza,26d041c4
T Natarajan,ce794613
TM Head,12b610c2
V Narayan Kutty,4bacee3d
A Bengeri,c109497d
AD Russell,bbd41817
AM Rahane,29e95537
AT Rayudu,70d205c9
Akash Singh,b483905d
CV Varun,5b7ab5a9
D Wiese,aa8d28ae
DP Conway,df5a6881
JJ Roy,d1c36f5c
K Khejroliya,fa2f1dde
M Pathirana,64839cb3
M Theekshana,f24c6701
MM Ali,bb351c23
MS Dhoni,4a8a2e3b
N Jagadeesan,bd54eef5
N Rana,fb2d1dda
Nitin Menon,e1d41d9e
RA Jadeja,fe93fd9d
RD Gaikwad,45a43fe2
RK Singh,0a509d6b
S Dube,a4e37e47
SP Narine,9d430b40
Shakti Singh,eb90d319
Suyash Sharma,9440ef41
TU Deshpande,46a9bea1
Tapan Sharma,b9aa2b6e
UT Yadav,cc1e8c68
VK Sharma,a7a49df4
VR Iyer,a24be938
A Singh,5b040b81
AM Saheba,883e3818
AS Raut,c69a7b5c
GAV Baxter,cb4b3ab0
GC Smith,72861603
HDPK Dharmasena,323e4c16
J Srinath,bad31fac
JA Morkel,c3d35165
JDP Oram,3eac9d95
KH Hurter,bda8cca8
L Balaji,b2b50355
LA Carseldine,d872f52a
M Muralitharan,4ba44e19
M Vijay,4b57e452
ML Hayden,d8699ab7
NV Ojha,890946a0
S Badrinath,3576e47e
S Tyagi,c24a2c5d
SA Asnodkar,ae091d39
SB Jakati,c8179c68
SK Raina,1dc12ab9
SK Trivedi,3d7e087f
SK Warne,bb18be76
SM Harwood,63bff7f9
YK Pathan,3c6ffae8
A Nortje,acdc62f5
AK Chaudhary,fdcc6236
AR Patel,2e171977
Avesh Khan,eef2536f
HH Pandya,dbe50b21
J Yadav,81049310
JJ Bumrah,462411b3
KA Pollard,a757b0d8
KH Pandya,5b8c830e
MA Gough,76752ac8
NM Coulter-Nile,56ab442f
PP Shaw,8b3e9c7c
Q de Kock,372455c4
R Ashwin,495d42a5
RG Sharma,740742ef
RR Pant,919a3be2
SA Yadav,271f83cd
SO Hetmyer,48a1d7b7
SPD Smith,30a45b23
SS Iyer,85ec8e33
SS Tiwary,709b0bac
TA Boult,a818c1be
A Nehra,96fd40ae
CK Nandan,012de9c4
DJ Bravo,87e562a9
DR Smith,35205dfc
F du Plessis,3355b542
Harbhajan Singh,8b5b6769
J Suchith,4125d931
LMP Simmons,89f64c19
MEK Hussey,48fd7349
MJ McClenaghan,51a3c5ef
MM Sharma,759ac88f
P Negi,f62772e5
PA Patel,b5da6c24
R Vinay Kumar,41eb4a4f
RK Illingworth,20672246
RS Madugalle,766b5798
SL Malinga,a12e1d51
UBT Chand,0c94f480
VA Kulkarni,8fe0c4f8
A Mishra,6b19d823
AV Jayaprakash,bde6e9ef
BG Jerling,26457e41
CH Lloyd,5b445db0
DPMD Jayawardene,d18f9182
G Gambhir,bb345e0b
GD McGrath,ee7d0c82
IK Pathan,5fa06777
JR Hopes,2498e163
KD Karthik,c03f1114
LA Pomersbach,b63ab531
MF Maharoof,ab89348d
PJ Sangwan,9fc0ef64
PP Chawla,98ae73b1
R Bhatia,33a364a6
RE Koertzen,0265fab2
RR Powar,5d096f3d
S Sreesanth,6b8eb6e5
SE Marsh,508a1ea7
Shoaib Malik,64c34cd0
TM Dilshan,5bdcdb72
U Kaul,622cc511
V Sehwag,8ba8195d
VRV Singh,034b4b7d
Yuvraj Singh,1c914163
AA Chavan,29d72eb2
AL Menaria,8291f939
BB McCullum,b8a55852
BJ Hodge,b57f8a9a
FY Fazal,c15e2193
ND Doshi,6ec424a9
OA Shah,7bf96684
P Parameswaran,0c432afb
P Prasanth,ddb00822
PR Reiffel,c9354f29
PR Shah,0aadc906
R Dravid,0184dc35
RJ Tucker,38810cfc
RP Singh,c3d1402f
RS Mahanama,57910393
S Asnani,b04524bc
SR Watson,4329fbb5
SW Tait,addfb70e
Y Gnaneswara Rao,bae11797
AB de Villiers,c4487b84
AJ Pycroft,685d3f80
BNJ Oxenford,c1add349
C Shamshuddin,0f9d921b
CH Gayle,db584dad
DA Warner,dcce6f09
LRPL Taylor,b61a3e1a
MA Agarwal,00ea847a
R Risodkar,3de870ce
V Kohli,ba607b88
VR Aaron,0a3d54b9
Y Venugopal Rao,fe763256
Z Khan,91a4a398
BCJ Cutting,2e11c706
BK Ravi,ff8c3cfb
CA Ingram,c995d726
I Sharma,5bb1a1c4
KMA Paul,75224f22
M Nayyar,b7bccddb
R Tewatia,39a2dfa8
