cricsheet_id,player_id,canonical_name,has_ipl,has_t20i
6a26221c,P0029,Aiden Markram,True,True
8e514b4c,P0045,Abdul Samad,True,False
f29185a1,P0056,Abhishek Sharma,True,True
244048f6,P0131,Arshdeep Singh,True,True
84d9c311,P0366,H Sharma,True,False
2e81a32d,P0159,B Kumar,True,True
235c2bb6,P0365,H Klaasen,True,True
f986ca1a,P0372,HV Patel,True,True
c05edf8e,P0380,Harpreet Brar,True,False
1e66c162,P0419,JD Unadkat,True,True
abb83e27,P0424,Jonny Bairstow,True,True
800d2d97,P0425,JM Sharma,True,True
e62dd25d,P0488,K Rabada,True,True
aad0c365,P0735,Nitish Kumar Reddy,True,True
9418198b,P0753,P Simran Singh,True,False
ded9240e,P0758,Pat Cummins,True,True
77255a9e,P0834,RA Tripathi,True,True
0a476045,P0914,S Dhawan,True,True
e94915e6,P0933,Sam Curran,True,True
f9e6e7ef,P0996,Shahbaz Ahmed,True,True
26989d80,P1011,Shashank Singh,True,False
26d041c4,P1043,Sikandar Raza,True,True
ce794613,P1077,T Natarajan,True,True
12b610c2,P1085,TM Head,True,True
bbd41817,P0025,AD Russell,True,True
29e95537,P0033,AM Rahane,True,True
70d205c9,P0040,AT Rayudu,True,True
b483905d,P0074,Akash Singh,True,False
5b7ab5a9,P0221,CV Varun,True,True
aa8d28ae,P0251,D Wiese,True,True
df5a6881,P0266,DP Conway,True,True
fa2f1dde,P0485,K Khejroliya,True,False
64839cb3,P0580,M Pathirana,True,True
f24c6701,P0585,M Theekshana,True,True
bb351c23,P0601,MM Ali,True,True
4a8a2e3b,P0608,MS Dhoni,True,True
bd54eef5,P0703,N Jagadeesan,True,False
fb2d1dda,P0705,N Rana,True,True
fe93fd9d,P0833,RA Jadeja,True,True
45a43fe2,P0836,RD Gaikwad,True,True
0a509d6b,P0824,RK Singh,True,True
a4e37e47,P0915,S Dube,True,True
9d430b40,P0939,SP Narine,True,True
9440ef41,P1072,Suyash Sharma,True,False
46a9bea1,P1087,Tushar Deshpande,True,True
cc1e8c68,P1114,UT Yadav,True,True
a24be938,P1124,VR Iyer,True,True
5b040b81,P0010,A Singh,True,False
c69a7b5c,P0038,AS Raut,True,False
72861603,P0343,GC Smith,True,True
c3d35165,P0415,JA Morkel,True,True
3eac9d95,P0420,JDP Oram,True,True
b2b50355,P0549,L Balaji,True,True
4ba44e19,P0579,M Muralitharan,True,True
4b57e452,P0586,M Vijay,True,True
d8699ab7,P0600,ML Hayden,True,True
890946a0,P0713,NV Ojha,True,True
3576e47e,P0913,S Badrinath,True,True
ae091d39,P0923,SA Asnodkar,True,False
1dc12ab9,P0929,SK Raina,True,True
3d7e087f,P0930,SK Trivedi,True,False
bb18be76,P0931,SK Warne,True,False
3c6ffae8,P1181,YK Pathan,True,True
acdc62f5,P0009,A Nortje,True,True
2e171977,P0036,AR Patel,True,True
eef2536f,P0150,Avesh Khan,True,True
dbe50b21,P0368,HH Pandya,True,True
81049310,P0414,J Yadav,True,False
462411b3,P0423,JJ Bumrah,True,True
a757b0d8,P0491,KA Pollard,True,True
5b8c830e,P0494,KH Pandya,True,True
56ab442f,P0710,NM Coulter-Nile,True,True
8b3e9c7c,P0763,PP Shaw,True,True
372455c4,P0816,Q de Kock,True,True
495d42a5,P0820,R Ashwin,True,True
740742ef,P0830,RG Sharma,True,True
919a3be2,P0842,RR Pant,True,True
271f83cd,P0924,SA Yadav,True,True
48a1d7b7,P0937,SO Hetmyer,True,True
30a45b23,P0940,SPD Smith,True,True
85ec8e33,P0943,SS Iyer,True,True
709b0bac,P0945,SS Tiwary,True,False
a818c1be,P1080,TA Boult,True,True
96fd40ae,P0008,A Nehra,True,True
87e562a9,P0259,DJ Bravo,True,True
35205dfc,P0269,DR Smith,True,True
3355b542,P0332,F du Plessis,True,True
8b5b6769,P0374,Harbhajan Singh,True,True
4125d931,P0412,J Suchith,True,False
89f64c19,P0555,LMP Simmons,True,True
48fd7349,P0592,MEK Hussey,True,True
51a3c5ef,P0595,MJ McClenaghan,True,True
759ac88f,P0603,MM Sharma,True,True
f62772e5,P0752,P Negi,True,True
b5da6c24,P0755,PA Patel,True,True
41eb4a4f,P0832,R Vinay Kumar,True,True
a12e1d51,P0932,SL Malinga,True,True
0c94f480,P1113,UBT Chand,True,False
6b19d823,P0007,A Mishra,True,True
d18f9182,P0267,DPMD Jayawardene,True,True
bb345e0b,P0341,G Gambhir,True,True
5fa06777,P0395,IK Pathan,True,True
c03f1114,P0493,KD Karthik,True,True
b63ab531,P0553,Luke Pomersbach,True,True
ab89348d,P0593,MF Maharoof,True,True
9fc0ef64,P0759,PJ Sangwan,True,False
98ae73b1,P0761,PP Chawla,True,True
33a364a6,P0821,R Bhatia,True,False
5d096f3d,P0843,RR Powar,True,False
6b8eb6e5,P0922,S Sreesanth,True,True
508a1ea7,P0928,SE Marsh,True,True
64c34cd0,P1028,Shoaib Malik,True,True
5bdcdb72,P1084,TM Dilshan,True,True
8ba8195d,P1120,V Sehwag,True,True
034b4b7d,P1125,VRV Singh,True,False
1c914163,P1194,Yuvraj Singh,True,True
29d72eb2,P0014,AA Chavan,True,False
8291f939,P0030,AL Menaria,True,False
b8a55852,P0167,Brendon McCullum,True,True
b57f8a9a,P0170,BJ Hodge,True,True
7bf96684,P0741,Owais Shah,True,True
0aadc906,P0764,PR Shah,True,False
0184dc35,P0823,R Dravid,True,True
c3d1402f,P0824,RK Singh,True,True
4329fbb5,P0942,SR Watson,True,True
c4487b84,P0018,AB de Villiers,True,True
db584dad,P0214,CH Gayle,True,True
dcce6f09,P0253,DA Warner,True,True
b61a3e1a,P0557,LRPL Taylor,True,True
00ea847a,P0588,MA Agarwal,True,False
ba607b88,P1119,V Kohli,True,True
0a3d54b9,P1123,VR Aaron,True,False
fe763256,P1179,Y Venugopal Rao,True,False
91a4a398,P1196,Z Khan,True,True
2e11c706,P0168,Ben Cutting,True,True
5bb1a1c4,P0393,I Sharma,True,True
39a2dfa8,P0831,R Tewatia,True,False
b8527c3d,P0876,Rasikh Salam,True,False
0890552f,P0006,A Manohar,True,False
