Rank,Player,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %
1,Liam Livingstone,SRH,13.0,2.23,2.24,481%
2,Matheesha Pathirana,KKR,18.0,7.42,3.44,424%
3,Ravi Bishnoi,RR,7.2,0.45,1.5,380%
4,Venkatesh Iyer,RCB,7.0,1.23,1.6,338%
5,Cameron Green,KKR,25.2,13.86,5.86,330%
6,Mustafizur Rahman,KKR,9.2,3.19,2.42,280%
7,Rahul Chahar,CSK,5.2,0.17,1.47,255%
8,Josh Inglis,LSG,8.6,7.42,3.44,150%
9,Adam Milne,RR,2.4,0.46,1.93,24%
10,Anrich Nortje,LSG,2.0,-1.18,1.68,19%
11,Tom Banton,GT,2.0,-0.66,1.76,14%
12,Lungi Ngidi,DC,2.0,-0.1,1.84,8%
13,David Miller,DC,2.0,-0.02,1.85,8%
14,Matt Henry,CSK,2.0,1.68,2.14,-6%
15,Akash Deep,KKR,1.0,-0.95,1.34,-25%
16,Shivam Mavi,SRH,0.75,-2.42,1.18,-37%
17,Matthew Short,CSK,1.5,3.06,2.39,-37%
18,Sarfaraz Khan,CSK,0.75,-1.85,1.24,-39%
19,Luke Wood,GT,0.75,-3.01,1.45,-48%
20,Prithvi Shaw,DC,0.75,6.4,2.46,-69%
21,Kartik Tyagi,KKR,0.3,-0.99,1.33,-77%
