year,player_id,player_name,team,base_price_lakh,final_price_lakh,role,nationality,status,acquisition_type,source
2008,P0417,MS Dhoni,CSK,,950.0,Wicket-Keeper,Indian,SOLD,auction,manual_2008
2008,P0062,Andrew Symonds,DCH,,650.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0686,Sanath Jayasuriya,MI,,575.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0294,Ishant Sharma,KKR,,550.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0420,Mahela Jayawardene,DC,,525.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0600,RP Singh,DCH,,375.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0289,Irfan Pathan,PBKS,,350.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0652,Robin Uthappa,MI,,300.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0251,Gautam Gambhir,DC,,275.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0665,S Sreesanth,PBKS,,275.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0876,Yusuf Pathan,RR,,215.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0576,Praveen Kumar,RCB,,200.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0735,Shikhar Dhawan,DC,,200.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0880,Zaheer Khan,RCB,,200.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0270,Harbhajan Singh,MI,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0498,Munaf Patel,RR,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0561,Piyush Chawla,PBKS,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0566,Pragyan Ojha,DCH,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0637,Ravindra Jadeja,RR,,175.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0191,Daniel Vettori,DC,,150.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0476,Mohammed Kaif,RR,,150.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0608,Rohit Sharma,DCH,,148.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0258,Glenn McGrath,DC,,147.5,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0020,Adam Gilchrist,DCH,,125.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0070,Anil Kumble,RCB,,125.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0154,Brett Lee,KKR,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0172,Chris Gayle,KKR,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0262,Graeme Smith,RR,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0303,Jacques Kallis,RCB,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0335,Joginder Sharma,CSK,,125.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0389,Kumar Sangakkara,PBKS,,125.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0451,Matthew Hayden,CSK,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0460,Michael Hussey,CSK,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0473,Mohammed Asif,DC,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0499,Murali Kartik,KKR,,125.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0506,Muttiah Muralitharan,CSK,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0607,Rahul Dravid,RCB,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0669,Sachin Tendulkar,MI,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0724,Shane Warne,RR,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0730,Shaun Pollock,MI,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0743,Shoaib Malik,DC,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0763,Sourav Ganguly,KKR,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0766,Stephen Fleming,CSK,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0778,Suresh Raina,CSK,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0820,VVS Laxman,DCH,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0846,Virender Sehwag,DC,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0878,Yuvraj Singh,PBKS,,125.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0001,AB de Villiers,DC,,100.0,Batsman,Overseas,SOLD,auction,manual_2008
