player_id,canonical_name,aliases
P0001,AB de Villiers,AB de Villiers
P0002,Aaron Finch,Aaron Finch
P0003,Abdul Samad,Abdul Samad
P0004,Abhijeet Tomar,Abhijeet Tomar
P0005,Abhimanyu Mithun,Abhimanyu Mithun
P0006,Abhinav Sadarangani,Abhinav Sadarangani
P0007,Abhishek Nayar,Abhishek Nayar
P0008,Abhishek Porel,Abhishek Porel
P0009,Abhishek Sharma,Abhishek Sharma
P0010,Adam Gilchrist,Adam Gilchrist
P0011,Adam Milne,Adam Milne
P0012,Adam Voges,Adam Voges
P0013,Adam Zampa,Adam Zampa
P0014,Adil Rashid,Adil Rashid
P0015,Aiden Blizzard,Aiden Blizzard
P0016,Aiden Markram,Aiden Markram
P0017,Ajay Dev Goud,Ajay Dev Goud
P0018,Ajay Mandal,Ajay Mandal
P0019,Ajinkya Rahane,Ajinkya Rahane
P0020,Ajit Agarkar,Ajit Agarkar
P0021,Akash Deep,Akash Deep
P0022,Akash Singh,Akash Singh
P0023,Akash Vashisht,Akash Vashisht
P0024,Akeal Hosein,Akeal Hosein
P0025,Akshat Raghuwanshi,Akshat Raghuwanshi
P0026,Albie Morkel,Albie Morkel
P0027,Alex Carey,Alex Carey
P0028,Alex Hales,Alex Hales
P0029,Alfonso Thomas,Alfonso Thomas
P0030,Alzarri Joseph,Alzarri Joseph
P0031,Aman Khan,Aman Khan
P0032,Aman Rao,Aman Rao
P0033,Ambati Rayudu,Ambati Rayudu
P0034,Amit Kumar,Amit Kumar
P0035,Amit Mishra,Amit Mishra
P0036,Andre Russell,Andre Russell
P0037,Andrew Flintoff,Andrew Flintoff
P0038,Andrew McDonald,Andrew McDonald
P0039,Andrew Symonds,Andrew Symonds
P0040,Aneeshwar Gautam,Aneeshwar Gautam
P0041,Angelo Mathews,Angelo Mathews
P0042,Anil Kumble,Anil Kumble
P0043,Ankit Singh Rajpoot,Ankit Rajpoot|Ankit Singh Rajpoot
P0044,Anmolpreet Singh,Anmolpreet Singh
P0045,Anrich Nortje,Anrich Nortje
P0046,Ansh Patel,Ansh Patel
P0047,Anuj Rawat,Anuj Rawat
P0048,Anukul Roy,Anukul Roy
P0049,Anunay Singh,Anunay Singh
P0050,Arjun Tendulkar,Arjun Tendulkar
P0051,Arshdeep Singh,Arshdeep Singh
P0052,Aryan Juyal,Aryan Juyal
P0053,Ashish Nehra,Ashish Nehra
P0054,Ashok Dinda,Ashok Dinda
