,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
0,Arjun Tendulkar,Bowling Allrounder , India,SOLD,20,20,MI,2,2,1,67,3,33.50,7,21.0,0,0,0,0,0,0,42,2,1/33,1/33,9.57,0,0
1,Akash Singh,Bowler , India,SOLD,20,20,RR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Pawan Negi,Bowling Allrounder , India,SOLD,50,50,KKR,119,83,32,2363,41*,24.61,657,19.8,0,0,56,33,40,0,1905,96,5/22,5/22,7.44,1,1
3,Venkatesh Iyer,Bowler , India,SOLD,20,20,KKR,38,32,12,541,88*,25.76,526,22.1,0,2,63,28,17,0,465,21,2/10,2/10,6.98,0,0
4,Hanuma Vihari,Batting Allrounder , India,UNSOLD,100,-,-,74,73,8,500,81,22.72,1206,18.5,0,4,119,31,29,2,408,22,3/21,3/21,7.35,0,0
5,Jason Behrendorff,Bowler , Australia,UNSOLD,100,-,-,79,17,11,2005,26,22.27,80,18.5,0,0,7,1,27,0,1670,90,4/21,4/21,7.20,2,0
6,Gurkeerat Singh Mann,Batsman , India,UNSOLD,50,-,-,113,95,20,253,93*,36.14,1478,30.0,0,7,180,63,55,3,210,7,2/15,2/15,7.22,0,0
7,Ben Cutting,Bowling Allrounder , Australia,SOLD,75,75,KKR,171,143,39,4073,81*,31.82,1589,21.2,0,4,148,153,71,0,2717,128,5/28,5/28,8.99,0,1
8,Rassie van der Dussen,Batsman , South Africa,UNSOLD,50,-,-,124,118,20,55,112*,18.33,2856,18.0,3,25,260,167,37,0,54,3,2/15,2/15,6.11,0,0
9,Corey Anderson,Batting Allrounder , New Zealand,UNSOLD,75,-,-,152,133,24,1282,95*,35.61,2002,23.5,0,10,172,167,52,0,849,36,2/17,2/17,9.06,0,0
10,Vishnu Solanki,WK-Batsman , India,UNSOLD,20,-,-,41,34,11,9,71*,-,626,-,0,4,62,33,20,1,6,0,-,-,9.00,0,0
