year,player_id,player_name,team,base_price_lakh,final_price_lakh,role,nationality,status,acquisition_type,source
2008,P0608,MS Dhoni,CSK,,950.0,Wicket-Keeper,Indian,SOLD,auction,manual_2008
2008,P0102,Andrew Symonds,DCH,,650.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0968,Sanath Jayasuriya,MI,,575.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0406,Ishant Sharma,KKR,,550.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0613,Mahela Jayawardene,DC,,525.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0824,RP Singh,DCH,,375.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0402,Irfan Pathan,PBKS,,350.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0848,Robin Uthappa,MI,,300.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0348,Gautam Gambhir,DC,,275.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0922,S Sreesanth,PBKS,,275.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P1181,Yusuf Pathan,RR,,215.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0798,Praveen Kumar,RCB,,200.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P1019,Shikhar Dhawan,DC,,200.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P1197,Zaheer Khan,RCB,,200.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0374,Harbhajan Singh,MI,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0694,Munaf Patel,RR,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0784,Piyush Chawla,PBKS,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0789,Pragyan Ojha,DCH,,175.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0884,Ravindra Jadeja,RR,,175.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0278,Daniel Vettori,DC,,150.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0672,Mohammed Kaif,RR,,150.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0856,Rohit Sharma,DCH,,148.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0355,Glenn McGrath,DC,,147.5,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0020,Adam Gilchrist,DCH,,125.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0110,Anil Kumble,RCB,,125.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0204,Brett Lee,KKR,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0236,Chris Gayle,KKR,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0359,Graeme Smith,RR,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0435,Jacques Kallis,RCB,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0468,Joginder Sharma,CSK,,125.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0540,Kumar Sangakkara,PBKS,,125.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0644,Matthew Hayden,CSK,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0653,Michael Hussey,CSK,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0669,Mohammed Asif,DC,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0695,Murali Kartik,KKR,,125.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0702,Muttiah Muralitharan,CSK,,125.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0855,Rahul Dravid,RCB,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0953,Sachin Tendulkar,MI,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P1007,Shane Warne,RR,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P1013,Shaun Pollock,MI,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P1028,Shoaib Malik,DC,,125.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P1047,Sourav Ganguly,KKR,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P1051,Stephen Fleming,CSK,,125.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P1066,Suresh Raina,CSK,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P1126,VVS Laxman,DCH,,125.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P1153,Virender Sehwag,DC,,125.0,Batsman,Indian,SOLD,auction,manual_2008
