season,player,matches_played,team,bat_innings,runs,balls_faced,fours,sixes,bat_dots,dismissals,highest_score,not_outs,fifties,hundreds,batting_avg,batting_sr,bowl_innings,overs,balls_bowled,runs_conceded,wickets,bowl_dots,wides,no_balls,fours_conceded,sixes_conceded,bowling_avg,economy,bowling_sr,four_wickets,five_wickets,best_figures,catches,run_outs,stumpings
2008,SE Marsh,11.0,Kings XI Punjab,11.0,616.0,452.0,59.0,26.0,171.0,9.0,115.0,2.0,5.0,1.0,68.44444444444444,136.28318584070794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,G Gambhir,14.0,Delhi Daredevils,14.0,534.0,394.0,68.0,8.0,134.0,13.0,86.0,1.0,5.0,0.0,41.07692307692308,135.53299492385787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,ST Jayasuriya,14.0,Mumbai Indians,14.0,514.0,333.0,57.0,31.0,162.0,12.0,114.0,2.0,2.0,1.0,42.833333333333336,154.35435435435437,8.0,21.1,127.0,163.0,4.0,36.0,0.0,0.0,10.0,6.0,40.75,7.700787401574803,31.75,0.0,0.0,3/14,,,
2008,SR Watson,15.0,Rajasthan Royals,15.0,472.0,322.0,47.0,19.0,114.0,10.0,76.0,5.0,4.0,0.0,47.2,146.58385093167703,15.0,56.0,344.0,395.0,17.0,158.0,0.0,0.0,53.0,6.0,23.235294117647058,6.88953488372093,20.235294117647058,0.0,0.0,3/10,,,
2008,GC Smith,11.0,Rajasthan Royals,11.0,441.0,375.0,54.0,8.0,158.0,9.0,91.0,2.0,3.0,0.0,49.0,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,AC Gilchrist,14.0,Deccan Chargers,14.0,436.0,328.0,51.0,19.0,153.0,13.0,109.0,1.0,3.0,1.0,33.53846153846154,132.9268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,YK Pathan,15.0,Rajasthan Royals,15.0,435.0,253.0,43.0,25.0,89.0,14.0,68.0,1.0,4.0,0.0,31.071428571428573,171.93675889328063,13.0,28.2,170.0,233.0,8.0,59.0,0.0,0.0,11.0,16.0,29.125,8.223529411764707,21.25,0.0,0.0,3/22,,,
2008,SK Raina,14.0,Chennai Super Kings,14.0,421.0,304.0,35.0,18.0,98.0,11.0,55.0,3.0,3.0,0.0,38.27272727272727,138.48684210526315,2.0,3.2,20.0,30.0,1.0,4.0,0.0,0.0,1.0,2.0,30.0,9.0,20.0,0.0,0.0,1/20,,,
2008,MS Dhoni,14.0,Chennai Super Kings,14.0,414.0,319.0,38.0,15.0,124.0,10.0,65.0,4.0,2.0,0.0,41.4,129.7805642633229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,V Sehwag,14.0,Delhi Daredevils,14.0,406.0,229.0,46.0,21.0,77.0,12.0,94.0,2.0,3.0,0.0,33.833333333333336,177.29257641921396,7.0,11.1,67.0,134.0,3.0,18.0,0.0,0.0,9.0,11.0,44.666666666666664,12.0,22.333333333333332,0.0,0.0,1/21,,,
2008,RG Sharma,12.0,Deccan Chargers,12.0,404.0,276.0,38.0,19.0,100.0,11.0,76.0,1.0,4.0,0.0,36.72727272727273,146.3768115942029,1.0,4.1,25.0,26.0,1.0,6.0,0.0,0.0,2.0,0.0,26.0,6.239999999999999,25.0,0.0,0.0,1/26,,,
2008,R Dravid,14.0,Royal Challengers Bangalore,14.0,371.0,299.0,35.0,11.0,104.0,13.0,75.0,1.0,2.0,0.0,28.53846153846154,124.08026755852843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,SC Ganguly,13.0,Kolkata Knight Riders,13.0,349.0,324.0,33.0,15.0,167.0,12.0,91.0,1.0,3.0,0.0,29.083333333333332,107.71604938271604,7.0,20.1,121.0,132.0,6.0,46.0,0.0,0.0,9.0,5.0,22.0,6.545454545454545,20.166666666666668,0.0,0.0,2/23,,,
2008,S Dhawan,14.0,Delhi Daredevils,14.0,340.0,308.0,35.0,8.0,134.0,9.0,68.0,5.0,4.0,0.0,37.77777777777778,110.3896103896104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
