match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1442989,India,Sri Lanka,2024-07-30,Sri Lanka,field,No Result,NA,,Washington Sundar,Pallekele International Cricket Stadium,Kandy,"YBK Jaiswal, Shubman Gill, SV Samson, RK Singh, SA Yadav, S Dube, R Parag, Washington Sundar, Ravi Bishnoi, Mohammed Siraj, KK Ahmed","P Nissanka, BKG Mendis, MDKJ Perera, PWH de Silva, KIC Asalanka, RTM Mendis, PHKD Mendis, C Wickramasinghe, M Theekshana, AM Fernando, M Pathirana",T20,male,India tour of Sri Lanka
1339605,West Indies,South Africa,2023-03-26,South Africa,field,Win,NA,South Africa,Q de Kock,"SuperSport Park, Centurion",Centurion,"BA King, KR Mayers, J Charles, N Pooran, R Powell, R Shepherd, OF Smith, RA Reifer, JO Holder, AJ Hosein, SS Cottrell","Q de Kock, RR Hendricks, RR Rossouw, DA Miller, AK Markram, H Klaasen, M Jansen, WD Parnell, SSB Magala, K Rabada, T Shamsi",T20,male,West Indies tour of South Africa
1478898,Australia,South Africa,2025-08-10,South Africa,field,Win,NA,Australia,TH David,"Marrara Stadium, Darwin",Darwin,"MR Marsh, TM Head, JP Inglis, C Green, TH David, MJ Owen, GJ Maxwell, BJ Dwarshuis, NT Ellis, A Zampa, JR Hazlewood","AK Markram, RD Rickelton, LG Pretorius, D Brevis, T Stubbs, GF Linde, C Bosch, S Muthusamy, K Rabada, KT Maphaka, L Ngidi",T20,male,South Africa tour of Australia
356009,Ireland,Sri Lanka,2009-06-14,Sri Lanka,bat,Win,NA,Sri Lanka,DPMD Jayawardene,Lord's,London,"WTS Porterfield, NJ O'Brien, AR White, KJ O'Brien, JF Mooney, DT Johnston, AC Botha, AR Cusack, RM West, WK McCallan, WB Rankin","TM Dilshan, ST Jayasuriya, KC Sangakkara, DPMD Jayawardene, LPC Silva, J Mubarak, AD Mathews, KMDN Kulasekara, M Muralitharan, SL Malinga, BAW Mendis",T20,male,ICC World Twenty20
1072317,England,Australia,2018-02-07,Australia,field,Win,NA,Australia,GJ Maxwell,Bellerive Oval,Hobart,"JJ Roy, AD Hales, DJ Malan, EJG Morgan, JC Buttler, SW Billings, DJ Willey, CJ Jordan, AU Rashid, TK Curran, MA Wood","DA Warner, DJM Short, CA Lynn, GJ Maxwell, MP Stoinis, TM Head, AT Carey, AC Agar, AJ Tye, KW Richardson, B Stanlake",T20,male,Trans-Tasman Twenty20 Trophy
533283,Bangladesh,Pakistan,2012-09-25,Bangladesh,bat,Win,NA,Pakistan,Imran Nazir,Pallekele International Cricket Stadium,,"Tamim Iqbal, Mohammad Ashraful, Shakib Al Hasan, Mushfiqur Rahim, Mahmudullah, Nasir Hossain, Ziaur Rahman, Abul Hasan, Mashrafe Mortaza, Abdur Razzak, Shafiul Islam","Mohammad Hafeez, Imran Nazir, Nasir Jamshed, Kamran Akmal, Shoaib Malik, Umar Akmal, Shahid Afridi, Yasir Arafat, Sohail Tanvir, Umar Gul, Saeed Ajmal",T20,male,ICC World Twenty20
1262759,India,Sri Lanka,2021-07-28,Sri Lanka,field,Win,NA,Sri Lanka,DM de Silva,"R Premadasa Stadium, Colombo",Colombo,"RD Gaikwad, S Dhawan, D Padikkal, SV Samson, N Rana, B Kumar, Navdeep Saini, Kuldeep Yadav, RD Chahar, C Sakariya, CV Varun","WIA Fernando, M Bhanuka, S Samarawickrama, MD Shanaka, DM de Silva, PWH de Silva, RTM Mendis, C Karunaratne, I Udana, A Dananjaya, PVD Chameera",T20,male,India tour of Sri Lanka
1428156,Ireland,Netherlands,2024-05-24,Netherlands,field,Win,NA,Ireland,GH Dockrell,"Sportpark Westvliet, The Hague",The Hague,"A Balbirnie, PR Stirling, L Tucker, HT Tector, C Campher, GH Dockrell, GJ Delany, MR Adair, BJ McCarthy, CA Young, B White","M Levitt, MP O'Dowd, Vikramjit Singh, SA Edwards, BFW de Leede, W Barresi, LV van Beek, TJG Pringle, SA Engelbrecht, PA van Meekeren, VJ Kingma",T20,male,Netherlands Tri-Nation T20I Series
682961,Sri Lanka,West Indies,2014-04-03,Sri Lanka,bat,Win,NA,Sri Lanka,AD Mathews,Shere Bangla National Stadium,Mirpur,"MDKJ Perera, TM Dilshan, DPMD Jayawardene, KC Sangakkara, HDRL Thirimanne, AD Mathews, S Prasanna, KMDN Kulasekara, SMSM Senanayake, HMRKB Herath, SL Malinga","DR Smith, CH Gayle, LMP Simmons, MN Samuels, DJ Bravo, DJG Sammy, D Ramdin, AD Russell, SP Narine, S Badree, K Santokie",T20,male,World T20
1498662,Netherlands,Bangladesh,2025-08-30,Bangladesh,field,Win,NA,Bangladesh,Taskin Ahmed,Sylhet International Cricket Stadium,Sylhet,"MP O'Dowd, Vikramjit Singh, AT Nidamanuru, SA Edwards, Shariz Ahmad, NRJ Croes, K Klein, TJG Pringle, A Dutt, PA van Meekeren, DT Doram","Parvez Hossain Emon, Tanzid Hasan, Liton Das, Saif Hassan, Towhid Hridoy, Jaker Ali, Mahedi Hasan, Taskin Ahmed, Mustafizur Rahman, Shoriful Islam, Rishad Hossain",T20,male,Netherlands tour of Bangladesh
1407091,Zimbabwe,Namibia,2023-11-22,Namibia,field,Win,NA,Namibia,N Davin,"Wanderers Cricket Ground, Windhoek",Windhoek,"T Marumani, NR Welch, CR Ervine, SC Williams, Sikandar Raza, RP Burl, C Madande, CT Mumba, WP Masakadza, B Muzarabani, R Ngarava","M van Lingen, N Davin, JN Frylinck, MG Erasmus, JJ Smit, JP Kotze, BM Scholtz, JN Loftie-Eaton, D Wiese, T Lungameni, ZE Green",T20,male,ICC Men's T20 World Cup Africa Region Qualifier
1273723,Netherlands,Sri Lanka,2021-10-22,Sri Lanka,field,Win,NA,Sri Lanka,CBRLS Kumara,Sharjah Cricket Stadium,Sharjah,"SJ Myburgh, MP O'Dowd, BN Cooper, CN Ackermann, BFW de Leede, SA Edwards, RE van der Merwe, PM Seelaar, FJ Klaassen, BD Glover, PA van Meekeren","P Nissanka, MDKJ Perera, KIC Asalanka, WIA Fernando, PBB Rajapaksa, MD Shanaka, C Karunaratne, PWH de Silva, PVD Chameera, M Theekshana, CBRLS Kumara",T20,male,ICC Men's T20 World Cup
546442,Ireland,Scotland,2012-03-18,Ireland,bat,Win,NA,Ireland,EC Joyce,Dubai International Cricket Stadium,,"WTS Porterfield, PR Stirling, EC Joyce, AR Cusack, KJ O'Brien, GC Wilson, JF Mooney, MC Sorensen, DT Johnston, WB Rankin, GH Dockrell","RD Berrington, CS MacLeod, PL Mommsen, KJ Coetzer, DF Watts, JH Stander, R Flannigan, CD Wallace, RM Haq, SM Sharif, MA Parker",T20,male,ICC World Twenty20 Qualifier
1489970,Nepal,West Indies,2025-09-30,West Indies,field,Win,NA,West Indies,RR Simmonds,Sharjah Cricket Stadium,Sharjah,"K Bhurtel, Kushal Malla, RK Paudel, Gulsan Jha, S Jora, Aarif Sheikh, Mohammad Aadil Alam, Lokesh Bam, Sompal Kami, Karan KC, Shahab Alam","AA Jangoo, AWJ Auguste, KR Mayers, KU Carty, K Gore, JO Holder, FA Allen, AJ Hosein, N Bidaisee, J Blades, RR Simmonds",T20,male,Nepal v West Indies T20I Series
1419826,Sri Lanka,Bangladesh,2024-03-09,Bangladesh,field,Win,NA,Sri Lanka,N Thushara,Sylhet International Cricket Stadium,Sylhet,"DM de Silva, BKG Mendis, PHKD Mendis, PWH de Silva, KIC Asalanka, AD Mathews, MD Shanaka, S Samarawickrama, M Theekshana, B Fernando, N Thushara","Liton Das, Soumya Sarkar, Nazmul Hossain Shanto, Towhid Hridoy, Mahmudullah, Jaker Ali, Mahedi Hasan, Rishad Hossain, Taskin Ahmed, Shoriful Islam, Mustafizur Rahman",T20,male,Sri Lanka tour of Bangladesh
1303313,New Zealand,Ireland,2022-07-20,Ireland,field,Win,NA,New Zealand,D Cleaver,"Civil Service Cricket Club, Stormont, Belfast",Belfast,"MJ Guptill, FH Allen, D Cleaver, GD Phillips, DJ Mitchell, JDS Neesham, MG Bracewell, MJ Santner, IS Sodhi, LH Ferguson, JA Duffy","PR Stirling, A Balbirnie, GJ Delany, HT Tector, C Campher, L Tucker, GH Dockrell, MR Adair, BJ McCarthy, CA Young, J Little",T20,male,New Zealand tour of Ireland
1298157,India,Netherlands,2022-10-27,India,bat,Win,NA,India,SA Yadav,Sydney Cricket Ground,Sydney,"KL Rahul, RG Sharma, V Kohli, SA Yadav, AR Patel, HH Pandya, KD Karthik, R Ashwin, Mohammed Shami, B Kumar, Arshdeep Singh","Vikramjit Singh, MP O'Dowd, BFW de Leede, CN Ackermann, TLW Cooper, SA Edwards, TJG Pringle, LV van Beek, Shariz Ahmad, FJ Klaassen, PA van Meekeren",T20,male,ICC Men's T20 World Cup
