year,player,team,batting_war,bowling_war,total_war,runs,balls_faced,strike_rate,balls_bowled,overs,runs_conceded,wickets,economy
2005,J Lewis,,0.0,3.676210643633324,3.676210643633324,0.0,0.0,,24.0,4.0,24.0,4.0,6.0
2005,JS Patel,,0.0,3.376210643633324,3.376210643633324,0.0,0.0,,24.0,4.0,21.0,3.0,5.25
2005,MS Kasprowicz,Australia,-0.4272267206477733,3.7333686263583177,3.3061419057105446,3.0,6.0,50.0,42.0,7.0,57.0,5.0,8.142857142857142
2005,PD Collingwood,England,0.8486842105263157,2.138105321816662,2.9867895323429776,46.0,26.0,176.9230769230769,12.0,2.0,9.0,2.0,4.5
2005,D Gough,,0.0,2.857157982724993,2.857157982724993,0.0,0.0,,18.0,3.0,17.0,3.0,5.666666666666667
2005,A Nel,South Africa,-0.24240890688259106,2.976210643633324,2.733801736750733,0.0,2.0,0.0,24.0,4.0,19.0,2.0,4.75
2005,A Symonds,Australia,-0.06047570850202426,2.614315965449986,2.5538402569479617,32.0,17.0,188.23529411764704,36.0,6.0,47.0,3.0,7.833333333333333
2005,NJ Astle,New Zealand,-0.933248987854251,3.376210643633324,2.4429616557790728,10.0,11.0,90.9090909090909,24.0,4.0,21.0,3.0,5.25
2005,RT Ponting,Australia,2.1701417004048595,0.0,2.1701417004048595,98.0,58.0,168.9655172413793,0.0,,,,
2005,SE Bond,,0.0,1.9166843131791587,1.9166843131791587,0.0,0.0,,21.0,3.5,25.0,2.0,7.142857142857143
2005,SJ Harmison,,0.0,1.5976316522708274,1.5976316522708274,0.0,0.0,,15.0,2.5,13.0,1.0,5.2
2005,N Boje,,0.0,1.3762106436333241,1.3762106436333241,0.0,0.0,,24.0,4.0,29.0,1.0,7.25
2005,JR Hopes,,0.0,1.057157982724993,1.057157982724993,0.0,0.0,,18.0,3.0,23.0,1.0,7.666666666666667
2005,GD McGrath,Australia,-1.5544534412955466,2.452421287266648,0.8979678459711014,5.0,12.0,41.66666666666667,48.0,8.0,79.0,5.0,9.875
2005,CK Langeveldt,South Africa,-0.8848178137651821,1.538105321816662,0.65328750805148,2.0,4.0,50.0,12.0,2.0,15.0,2.0,7.5
2005,KP Pietersen,England,0.61831983805668,0.0,0.61831983805668,34.0,18.0,188.88888888888889,0.0,,,,
2005,BB McCullum,New Zealand,0.5790485829959515,0.0,0.5790485829959515,53.0,34.0,155.88235294117646,0.0,,,,
2005,CL Cairns,New Zealand,-0.9848178137651822,1.476210643633324,0.4913928298681418,1.0,4.0,25.0,24.0,4.0,28.0,1.0,7.0
2005,MJ Clarke,Australia,-1.106022267206478,1.5952633045416547,0.48924103733517676,7.0,5.0,140.0,30.0,5.0,36.0,1.0,7.2
2005,A Flintoff,England,-0.7272267206477733,1.1571579827249932,0.4299312620772199,6.0,6.0,100.0,18.0,3.0,16.0,0.0,5.333333333333333
2005,JDP Oram,New Zealand,0.36072874493927143,0.0,0.36072874493927143,23.0,16.0,143.75,0.0,,,,
2005,SM Pollock,South Africa,-0.8424089068825911,1.1571579827249932,0.3147490758424021,0.0,2.0,0.0,18.0,3.0,16.0,0.0,5.333333333333333
2005,KD Mills,New Zealand,-0.7212044534412956,0.9524212872666482,0.23121683382535263,0.0,1.0,0.0,48.0,8.0,82.0,3.0,10.25
2005,AR Adams,New Zealand,-0.7484311740890688,0.9524212872666482,0.20399011317757942,7.0,7.0,100.0,48.0,8.0,70.0,1.0,8.75
2005,MEK Hussey,Australia,0.0547064777327936,0.0,0.0547064777327936,32.0,21.0,152.38095238095238,0.0,,,,
2005,B Lee,Australia,-1.524089068825911,1.2333686263583175,-0.29072044246759354,15.0,20.0,75.0,42.0,7.0,58.0,1.0,8.285714285714286
2005,VS Solanki,England,-0.30602226720647774,0.0,-0.30602226720647774,9.0,5.0,180.0,0.0,,,,
2005,GO Jones,England,-0.3968623481781375,0.0,-0.3968623481781375,19.0,14.0,135.71428571428572,0.0,,,,
2005,JA Morkel,South Africa,-0.9544534412955465,0.538105321816662,-0.4163481194788845,11.0,12.0,91.66666666666666,12.0,2.0,13.0,0.0,6.5
2005,SB Styris,New Zealand,-0.44190283400809705,0.0,-0.44190283400809705,90.0,68.0,132.35294117647058,0.0,,,,
2005,ML Hayden,Australia,-0.4848178137651821,0.0,-0.4848178137651821,6.0,4.0,150.0,0.0,,,,
