player_id,canonical_name,aliases
P0001,A Ashish Reddy,A Ashish Reddy|Ashish Reddy
P0002,Ayush Badoni,A Badoni|Ayush Badoni
P0003,A Chandila,A Chandila
P0004,A Chopra,A Chopra
P0005,A Kumble,A Kumble
P0006,A Manohar,A Manohar
P0007,A Mishra,A Mishra|Amit Mishra
P0008,A Nehra,A Nehra
P0009,A Nortje,A Nortje
P0010,A Singh,A Singh
P0011,A Symonds,A Symonds
P0012,A Zampa,A Zampa
P0013,AA Bilakhia,AA Bilakhia
P0014,AA Chavan,AA Chavan
P0015,Ajit Agarkar,AB Agarkar|Ajit Agarkar
P0016,AB Dinda,AB Dinda|Ashok Dinda
P0017,AB McDonald,AB McDonald
P0018,AB de Villiers,AB de Villiers
P0019,AC Blizzard,AC Blizzard
P0020,AC Gilchrist,AC Gilchrist|Adam Gilchrist
P0021,AC Thomas,AC Thomas
P0022,AD Mascarenhas,AD Mascarenhas
P0023,AD Mathews,AD Mathews
P0024,AD Nath,AD Nath
P0025,AD Russell,AD Russell|Andre Russell
P0026,AG Murtaza,AG Murtaza
P0027,AJ Finch,AJ Finch
P0028,AJ Tye,AJ Tye
P0029,Aiden Markram,AK Markram|Aiden Markram
P0030,AL Menaria,AL Menaria
P0031,AM Ghazanfar,AM Ghazanfar
P0032,AM Nayar,AM Nayar
P0033,AM Rahane,AM Rahane
P0034,AN Ahmed,AN Ahmed
P0035,AP Tare,AP Tare
P0036,AR Patel,AR Patel|Axar Patel|Axar Rajesh Patel
P0037,AS Joseph,AS Joseph
P0038,AS Raut,AS Raut
P0039,AS Roy,AS Roy
P0040,AT Rayudu,AT Rayudu
P0041,AUK Pathan,AUK Pathan
P0042,Aaron Finch,Aaron Finch
P0043,Aaron Hardie,Aaron Hardie
P0044,Aarya Desai,Aarya Desai
P0045,Abdul Samad,Abdul Samad
P0046,Abhijeet Tomar,Abhijeet Tomar
P0047,Abhilash Shetty,Abhilash Shetty
P0048,Abhimanyu Easwaran,Abhimanyu Easwaran
P0049,Abhimanyu Mithun,Abhimanyu Mithun
P0050,Abhimanyusingh Rajput,Abhimanyusingh Rajput
P0051,Abhinandan Singh,Abhinandan Singh
P0052,Abhinav Manohar,Abhinav Manohar
P0053,Abhinav Sadarangani,Abhinav Sadarangani
P0054,Abhishek Nayar,Abhishek Nayar
P0055,Abishek Porel,Abhishek Porel|Abishek Porel
P0056,Abhishek Sharma,Abhishek Sharma
P0057,Abid Mushtaq,Abid Mushtaq
P0058,Abu Nechim Ahmed,Abu Nechim Ahmed
P0059,Adam Milne,Adam Milne
P0060,Adam Voges,Adam Voges
P0061,Adam Zampa,Adam Zampa
P0062,Adil Rashid,Adil Rashid
P0063,Aditya Garhwal,Aditya Garhwal
P0064,Aditya Tare,Aditya Tare
P0065,Agnivesh Ayachi,Agnivesh Ayachi
P0066,Aiden Blizzard,Aiden Blizzard
P0067,Ajantha Mendis,Ajantha Mendis
P0068,Ajay Dev Goud,Ajay Dev Goud
P0069,Ajay Mandal,Ajay Mandal
P0070,Ajinkya Rahane,Ajinkya Rahane
P0071,Akash Deep,Akash Deep
P0072,Akash Madhwal,Akash Madhwal
P0073,Akash Sengupta,Akash Sengupta
P0074,Akash Singh,Akash Singh
P0075,Akash Vashisht,Akash Vashisht
P0076,Akeal Hosein,Akeal Hosein
P0077,Akhil Arvind Herwadkar,Akhil Arvind Herwadkar
P0078,Akhin Sathar,Akhin Sathar
P0079,Akila Dananjaya,Akila Dananjaya
P0080,Akila Dhananjaya,Akila Dhananjaya
P0081,Akshar Rajesh Patel,Akshar Rajesh Patel
P0082,Akshat Raghuwanshi,Akshat Raghuwanshi
P0083,Akshay Karnewar,Akshay Karnewar
P0084,Akshay Wakhare,Akshay Wakhare
P0085,Akshdeep Nath,Akshdeep Nath
P0086,Albie Morkel,Albie Morkel
P0087,Alex Carey,Alex Carey
P0088,Alex Hales,Alex Hales
P0089,Alfonso Thomas,Alfonso Thomas
P0090,Alick Athanaze,Alick Athanaze
P0091,Allah Ghazanfar,Allah Ghazanfar
P0092,Alzarri Joseph,Alzarri Joseph
P0093,Aman Khan,Aman Khan
P0094,Aman Rao,Aman Rao
P0095,Amandeep Khare,Amandeep Khare
P0096,Ambati Rayudu,Ambati Rayudu
P0097,Amit Kumar,Amit Kumar
P0098,Amit Paunikar,Amit Paunikar
P0099,Anand Rajan,Anand Rajan
P0100,Andrew Flintoff,Andrew Flintoff
P0101,Andrew McDonald,Andrew McDonald
P0102,Andrew Symonds,Andrew Symonds
P0103,Andrew Tye,Andrew Tye
P0104,Aneeshwar Gautam,Aneeshwar Gautam
P0105,Angelo Mathews,Angelo Mathews
P0106,Angkrish Raghuvanshi,Angkrish Raghuvanshi
P0107,Aniket Choudhary,Aniket Choudhary
P0108,Aniket Verma,Aniket Verma
P0109,Aniketh Reddy,Aniketh Reddy
P0110,Anil Kumble,Anil Kumble
P0111,Anirudha Ashok Joshi,Anirudha Ashok Joshi
P0112,Ankeet Bawane,Ankeet Bawane
P0113,Ankit Kumar,Ankit Kumar
P0114,Ankit Sharma,Ankit Nagendra Sharma|Ankit Sharma
P0115,Ankit Singh Rajpoot,Ankit Rajpoot|Ankit Singh Rajpoot
P0116,Ankush Bains,Ankush Bains
P0117,Anmol Malhotra,Anmol Malhotra
P0118,Anmolpreet Singh,Anmolpreet Singh|Anunay Singh|Anureet Singh
P0119,Anrich Nortje,Anrich Nortje
P0120,Ansh Gosai,Ansh Gosai
P0121,Ansh Patel,Ansh Patel
P0122,Anshul Kamboj,Anshul Kamboj
P0123,Anuj Rawat,Anuj Rawat
P0124,Anukul Roy,Anukul Roy
