year,player_name,team,final_price_lakh,role,nationality,status,source
2026,Cameron Green,KKR,2520,Unknown,Overseas,SOLD,wikipedia_2026
2026,Sarfaraz Khan,CSK,75,Unknown,Indian,SOLD,wikipedia_2026
2026,David Miller,DC,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Prithvi Shaw,DC,75,Unknown,Indian,SOLD,wikipedia_2026
2026,Wanindu Hasaranga,LSG,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Venkatesh Iyer,RCB,700,Unknown,Indian,SOLD,wikipedia_2026
2026,Liam Livingstone,SRH,1300,Unknown,Overseas,SOLD,wikipedia_2026
2026,Rachin Ravindra,KKR,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Finn Allen,KKR,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Quinton de Kock,MI,100,Unknown,Overseas,SOLD,wikipedia_2026
2026,Ben Duckett,DC,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Akash Deep,KKR,100,Unknown,Indian,SOLD,wikipedia_2026
2026,Jacob Duffy,RCB,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Matt Henry,CSK,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Shivam Mavi,SRH,75,Unknown,Indian,SOLD,wikipedia_2026
2026,Anrich Nortje,LSG,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Matheesha Pathirana,KKR,1800,Unknown,Overseas,SOLD,wikipedia_2026
2026,Ravi Bishnoi,RR,720,Unknown,Indian,SOLD,wikipedia_2026
2026,Rahul Chahar,CSK,520,Unknown,Indian,SOLD,wikipedia_2026
2026,Akeal Hosein,CSK,200,Unknown,Overseas,SOLD,wikipedia_2026
2026,Auqib Nabi,DC,840,Unknown,Indian,SOLD,wikipedia_2026
2026,Shivang Kumar,SRH,30,Unknown,Indian,SOLD,wikipedia_2026
2026,Prashant Veer,CSK,1420,Unknown,Indian,SOLD,wikipedia_2026
2026,Mukul Choudhary,LSG,260,Unknown,Indian,SOLD,wikipedia_2026
2026,Kartik Sharma,CSK,1420,Unknown,Indian,SOLD,wikipedia_2026
2026,Tejasvi Singh,KKR,300,Unknown,Indian,SOLD,wikipedia_2026
2026,Sushant Mishra,RR,90,Unknown,Indian,SOLD,wikipedia_2026
2026,Ashok Sharma,GT,90,Unknown,Indian,SOLD,wikipedia_2026
2026,Naman Tiwari,LSG,100,Unknown,Indian,SOLD,wikipedia_2026
2026,Kartik Tyagi,KKR,30,Unknown,Indian,SOLD,wikipedia_2026
2026,Yash Raj Punja,RR,30,Unknown,Indian,SOLD,wikipedia_2026
2026,Vignesh Puthur,RR,30,Unknown,Indian,SOLD,wikipedia_2026
2026,Prashant Solanki,KKR,30,Unknown,Indian,SOLD,wikipedia_2026
2026,Pathum Nissanka,DC,400,Batsman,Overseas,SOLD,wikipedia_2026
2026,Rahul Tripathi,KKR,75,Batsman,Indian,SOLD,wikipedia_2026
2026,Ben Dwarshuis,PBKS,440,All-Rounder,Overseas,SOLD,wikipedia_2026
2026,Zak Foulkes,CSK,75,All-Rounder,Overseas,SOLD,wikipedia_2026
2026,Jason Holder,GT,700,All-Rounder,Overseas,SOLD,wikipedia_2026
2026,Matthew Short,CSK,150,All-Rounder,Overseas,SOLD,wikipedia_2026
2026,Tom Banton,GT,200,Wicket-Keeper,Overseas,SOLD,wikipedia_2026
2026,Jordan Cox,RCB,75,Wicket-Keeper,Overseas,SOLD,wikipedia_2026
2026,Josh Inglis,LSG,860,Wicket-Keeper,Overseas,SOLD,wikipedia_2026
2026,Tim Seifert,KKR,150,Wicket-Keeper,Overseas,SOLD,wikipedia_2026
2026,Kyle Jamieson,DC,200,Bowler,Overseas,SOLD,wikipedia_2026
2026,Adam Milne,RR,240,Bowler,Overseas,SOLD,wikipedia_2026
2026,Lungi Ngidi,DC,200,Bowler,Overseas,SOLD,wikipedia_2026
2026,Mustafizur Rahman,KKR,920,Bowler,Overseas,SOLD,wikipedia_2026
2026,Kuldeep Sen,RR,75,Bowler,Indian,SOLD,wikipedia_2026
2026,Danish Malewar,MI,30,Batsman,Indian,SOLD,wikipedia_2026
2026,Aman Rao,RR,30,Batsman,Indian,SOLD,wikipedia_2026
2026,Akshat Raghuwanshi,LSG,220,Batsman,Indian,SOLD,wikipedia_2026
2026,Satvik Deswal,RCB,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Aman Khan,CSK,40,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Vicky Ostwal,RCB,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Mayank Rawat,MI,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Mangesh Yadav,RCB,520,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Salil Arora,SRH,150,Wicket-Keeper,Indian,SOLD,wikipedia_2026
2026,Ravi Singh,RR,95,Wicket-Keeper,Indian,SOLD,wikipedia_2026
2026,Sakib Hussain,SRH,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Mohammad Izhar,MI,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Onkar Tarmale,SRH,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Prithvi Raj,GT,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Praveen Dubey,PBKS,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Cooper Connolly,PBKS,300,All-Rounder,Overseas,SOLD,wikipedia_2026
2026,Luke Wood,GT,75,Bowler,Overseas,SOLD,wikipedia_2026
2026,Sahil Parekh,DC,30,Batsman,Indian,SOLD,wikipedia_2026
2026,Amit Kumar,SRH,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Vishal Nishad,PBKS,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Atharva Ankolekar,MI,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Praful Hinge,SRH,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Krains Fuletra,SRH,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Vihaan Malhotra,RCB,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Sarthak Ranjan,KKR,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Brijesh Sharma,RR,30,Bowler,Indian,SOLD,wikipedia_2026
2026,Kanishk Chouhan,RCB,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Daksh Kamra,KKR,30,All-Rounder,Indian,SOLD,wikipedia_2026
2026,Jack Edwards,SRH,300,All-Rounder,Overseas,SOLD,wikipedia_2026
