year,player_name,team,final_price_cr,predicted_war,actual_war,prediction_error,category
2022,Jos Buttler,RR,10.0,7.122288,33.53283898305084,26.410550983050836,breakout
2022,Liam Livingstone,PBKS,11.5,0.57986015,24.02818782902883,23.44832767902883,breakout
2018,Sunil Narine,KKR,12.5,9.6038475,31.55240341089447,21.94855591089447,breakout
2023,Cameron Green,MI,17.5,0.43033168,19.73369841507178,19.30336673507178,breakout
2023,Heinrich Klaasen,SRH,5.25,1.607169,20.1796875,18.5725185,breakout
2022,Sunil Narine,KKR,6.0,10.938657,28.63212750284179,17.69347050284179,breakout
2018,Rishabh Pant,DC,15.0,11.264154,28.65462062256809,17.39046662256809,breakout
2025,Prabhsimran Singh,PBKS,4.0,1.1645676,16.816176470588232,15.651608870588232,breakout
2022,Rahul Tripathi,SRH,8.5,3.2506335,17.82176906779661,14.57113556779661,breakout
2023,Ajinkya Rahane,CSK,0.5,0.041329976,14.36328125,14.321951274,breakout
2022,David Miller,GT,3.0,2.5590103,16.71716101694915,14.158150716949148,breakout
2023,Sonu Yadav,RCB,0.2,15.394895,29.140625,13.74573,breakout
2022,Glenn Maxwell,RCB,11.0,8.409956,21.510699589130688,13.100743589130689,breakout
2025,Riyan Parag,RR,14.0,4.6141443,17.680189255030356,13.066044955030357,breakout
2022,Quinton De Kock,LSG,6.75,6.791602,19.842690677966104,13.051088677966103,breakout
2025,Kuldeep Yadav,DC,13.25,7.5841346,20.56570883120736,12.981574231207361,breakout
2022,Umesh Yadav,KKR,2.0,0.9048351,13.629558875126204,12.724723775126204,breakout
2018,Andre Russell,KKR,8.5,4.511003,17.068761304313412,12.557758304313413,breakout
2023,Piyush Chawla,MI,0.5,1.0775607,13.373377691387574,12.295816991387575,breakout
2018,Jasprit Bumrah,MI,7.0,5.951047,17.7134632781604,11.762416278160401,breakout
2014,Chris Gayle,RCB,7.5,14.867814,0.4006027000964316,-14.467211299903568,disappointment
2021,Daniel Christian,RCB,4.0,9.15712,-2.4821442732281116,-11.639264273228113,disappointment
2022,Sherfane Rutherford,RCB,1.0,8.405451,-2.3612288135593227,-10.766679813559321,disappointment
2022,Nathan Coulter-Nile,RR,2.0,8.193907,-2.4704332464390273,-10.664340246439027,disappointment
2012,Brendon McCullum,KKR,4.5,9.948565,-0.6319767441860478,-10.580541744186048,disappointment
2021,Harbhajan Singh,KKR,2.0,10.543244,0.0467972153607065,-10.496446784639293,disappointment
2014,Dwayne Bravo,CSK,4.0,11.078245,0.615435149469624,-10.462809850530377,disappointment
2014,Gautam Gambhir,KKR,12.5,13.558412,3.2903266634522623,-10.268085336547738,disappointment
2021,Chris Morris,RR,16.0,8.221689,-1.708678093653733,-9.930367093653732,disappointment
2025,Shivam Dube,CSK,12.0,8.432349,-1.3249325251095088,-9.757281525109509,disappointment
2022,Mohammed Siraj,RCB,7.0,4.860396,-4.581907839379959,-9.442303839379958,disappointment
2014,Stuart Binny,RR,4.0,11.012314,1.6457416879795377,-9.366572312020462,disappointment
2022,Navdeep Saini,RR,2.6,7.5438232,-1.7553480085222055,-9.299171208522205,disappointment
2014,Virat Kohli,RCB,12.5,15.009305,6.290326663452262,-8.718978336547737,disappointment
2014,Shane Watson,RR,12.5,16.751389,8.24735456584629,-8.50403443415371,disappointment
2025,Tilak Varma,MI,8.0,11.215677,2.882352941176471,-8.333324058823528,disappointment
2022,Kane Williamson,SRH,14.0,6.0148787,-2.3127648305084776,-8.327643530508478,disappointment
2023,Mayank Agarwal,SRH,8.25,12.121831,3.80859375,-8.31323725,disappointment
2022,Mohammed Arshad Khan,MI,0.2,8.172471,-0.09375,-8.266221,disappointment
2022,K S Bharat,DC,2.0,8.392431,0.1268538135593219,-8.265577186440678,disappointment
2023,Sonu Yadav,RCB,0.2,15.394895,29.140625,13.74573,bargain
2022,Jitesh Sharma,PBKS,0.2,-0.46062917,10.66445974576271,11.12508891576271,bargain
2023,Ajinkya Rahane,CSK,0.5,0.041329976,14.36328125,14.321951274,bargain
2023,Piyush Chawla,MI,0.5,1.0775607,13.373377691387574,12.295816991387575,bargain
2012,Darren Bravo,DCH,0.5,5.11146,16.69999466945788,11.588534669457879,bargain
2023,Mayank Markande,SRH,0.5,-0.07758176,10.098198265550243,10.175780025550242,bargain
2022,Mohsin Khan,LSG,0.2,8.172471,14.17911383286446,6.006642832864459,bargain
2022,Ansh Patel,PBKS,0.2,10.736269,16.4737433797334,5.737474379733399,bargain
2023,Mohit Sharma,GT,0.5,1.9294573,9.24713292464115,7.31767562464115,bargain
2022,Ashok Sharma,KKR,0.55,4.2246675,11.871973748340968,7.647306248340969,bargain
2023,Ishant Sharma,DC,0.5,-0.25541514,5.743933163875603,5.999348303875603,bargain
2022,Anunay Singh,RR,0.2,4.5970354,8.530682832077014,3.933647432077014,bargain
2022,Umesh Yadav,KKR,2.0,0.9048351,13.629558875126204,12.724723775126204,bargain
2022,Simarjeet Singh,CSK,0.2,-0.057186157,3.353678216941529,3.410864373941529,bargain
2022,Rinku Singh,KKR,0.55,1.2812666,6.158103813559322,4.876837213559321,bargain
2023,Suyash Sharma,KKR,0.2,4.3967586,7.471979665071778,3.075221065071778,bargain
2022,David Miller,GT,3.0,2.5590103,16.71716101694915,14.158150716949148,bargain
2025,Prabhsimran Singh,PBKS,4.0,1.1645676,16.816176470588232,15.651608870588232,bargain
2023,Heinrich Klaasen,SRH,5.25,1.607169,20.1796875,18.5725185,bargain
2022,Sunil Narine,KKR,6.0,10.938657,28.63212750284179,17.69347050284179,bargain
