Rank,Player,Team,Price (Cr),WAR Forecast,Prior IPL WAR,Predicted (Cr),Premium %
1,Ravi Bishnoi,RR,7.2,2.61,0.45,0.44,1531%
2,Cameron Green,KKR,25.2,12.05,13.86,1.67,1407%
3,Venkatesh Iyer,RCB,7.0,4.36,1.23,0.49,1325%
4,Matheesha Pathirana,KKR,18.0,7.67,7.42,1.28,1307%
5,Liam Livingstone,SRH,13.0,4.28,2.23,1.04,1150%
6,Rahul Chahar,CSK,5.2,4.05,0.17,0.48,979%
7,Mustafizur Rahman,KKR,9.2,3.21,3.19,0.97,844%
8,Josh Inglis,LSG,8.6,5.64,7.42,1.13,661%
9,Adam Milne,RR,2.4,3.0,0.46,0.96,149%
10,Akash Deep,KKR,1.0,2.66,-0.95,0.44,126%
11,Tom Banton,GT,2.0,2.36,-0.66,0.93,116%
12,Anrich Nortje,LSG,2.0,2.6,-1.18,0.94,113%
13,Lungi Ngidi,DC,2.0,2.9,-0.1,0.96,109%
14,David Miller,DC,2.0,3.04,-0.02,0.96,107%
15,Matt Henry,CSK,2.0,3.43,1.68,0.99,103%
16,Sarfaraz Khan,CSK,0.75,2.68,-1.85,0.44,69%
17,Matthew Short,CSK,1.5,3.6,3.06,1.0,50%
18,Prithvi Shaw,DC,0.75,6.19,6.4,0.55,37%
19,Luke Wood,GT,0.75,2.71,-3.01,0.95,-21%
20,Kartik Tyagi,KKR,0.3,2.05,-0.99,0.43,-30%
