team,total_spent_cr,avg_price_cr,n_players,total_overpay_cr,mean_error,std_error,total_actual_war,total_predicted_war,war_per_cr,efficiency_rank
DCH,3.75,1.875,2,-12.232224638867766,2.6539121895462157,9.92159977328914,19.689861779092432,14.382037400000002,5.250629807757982,1.0
RPS,16.4,1.4909090909090907,11,-28.181428201205797,2.78712978998373,4.872725615504734,53.720230919821034,23.06180323,3.2756238365744537,2.0
GL,12.9,0.9923076923076923,13,-24.83447689056289,1.1873750551796103,5.406187588712681,41.590988671334934,26.155112954,3.2241076489406923,3.0
KKR,280.875,3.795608108108108,74,-40.63212816519126,0.33649301021633005,6.647185778129407,368.63557216600844,343.73508941,1.312454195517609,4.0
SRH,310.7,3.9833333333333334,78,-11.604948909116336,0.2926843396613012,5.604155534742311,383.0855221635815,360.25614367,1.232975610439593,5.0
PBKS,285.2,3.7526315789473683,76,-19.621404419244946,0.22157024122180968,6.45250985716989,351.4479610328575,334.6086227,1.2322859783760782,6.0
GT,114.05,6.708823529411765,17,2.779723530088369,2.5228586221772415,6.7056301220883965,134.5927804770131,91.7041839,1.1801208283824034,7.0
RCB,299.9875,4.347644927536232,69,-4.215845595380777,-0.4200715090250201,6.949878287840807,349.80715864727364,378.79209277,1.1660724485096,8.0
CSK,312.73,5.212166666666667,60,11.410677973748188,0.3141220783517456,5.92850087047229,364.0784239811047,345.23109928,1.1641941098746673,9.0
RR,310.075,4.306597222222222,72,13.821706628442433,-0.3201376748380159,6.766888692813453,336.6377992916629,359.68771188,1.0856657237496183,10.0
DC,347.625,4.188253012048193,83,29.326132838964547,-0.2625454727391007,5.379705591662843,366.86605022465466,388.657324462,1.0553500186254,11.0
MI,330.275,4.856985294117647,68,50.62679866863952,-0.4004136560013454,5.550812202487956,321.9327017719085,349.16083038,0.9747413572686656,12.0
LSG,147.7,5.9079999999999995,25,28.911017041502177,0.5801401041125653,6.525592468743294,142.23043747281412,127.72693487,0.9629684324496556,13.0
PWI,5.0625,5.0625,1,4.446400138184684,1.7993888174547166,,0.7590258174547166,-1.040363,0.1499310256700675,14.0
