Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
1,Gautam Gambhir,2011,KKR,30.57171314741036,8.938776408450703,5.939906023723956,24.631807123686404,414.68344827859374,18.80664451827242,-9.867868109821718,54.712041884816756
2,Sam Curran,2023,PBK,19.32555780933063,-1.4888473435472087,2.758058851410313,16.567498957920314,600.6941784236636,1.0700119434918918,-2.5588592870391005,68.58638743455498
3,Virat Kohli,2018,RCB,23.085036255767964,5.161732823627993,7.031048927484138,16.053987328283824,228.32990488132316,12.114514802631575,-6.952781979003582,58.376963350785346
4,MS Dhoni,2018,CSK,20.369149637442323,2.3928492878089713,6.155567667921181,14.213581969521142,230.90611193494138,8.187654194078938,-5.794804906269967,60.994764397905755
5,Ravindra Jadeja,2012,CSK,18.315272727272728,15.865192596697865,4.4724479157555885,13.84282481151714,309.5133822073475,13.248112944013169,2.617079652684696,81.67539267015707
6,Glenn Maxwell,2021,RCB,16.45179691956646,1.2530261093764867,3.14624237574875,13.305554543817708,422.90303653580474,21.510699589130688,-20.257673479754203,50.26178010471204
7,Rohit Sharma,2018,MI,20.369149637442323,5.5625942605781376,7.16772097375997,13.201428663682353,184.17888631562178,6.536235608552623,-0.9736413479744854,68.58638743455498
8,Shikhar Dhawan,2014,SRH,20.054517133956384,7.825095565749237,7.990449839892311,12.064067294064074,150.9810778591492,4.324379960317465,3.500715605431772,80.6282722513089
9,Nicholas Pooran,2023,LSG,16.713995943204868,9.8103813559322,4.74544867809218,11.968547265112687,252.2110779612186,18.926023017902807,-9.115641661970606,55.49738219895288
10,Gautam Gambhir,2014,KKR,20.054517133956384,8.797075688073399,8.37229095617897,11.682226177777414,139.53440269721665,1.7535714285714334,7.043504259501965,85.07853403141361
11,Ishan Kishan,2022,MI,16.799465240641712,6.877952876376991,5.380169162037364,11.419296078604347,212.2479002924154,12.31640625,-5.438453373623009,60.99476439790576
12,Hardik Pandya,2022,GT,16.524064171122994,1.058200734394125,5.7733869617174784,10.750677209405517,186.21092403283814,10.200231758373208,-9.142031023979083,53.403141361256544
13,Shreyas Iyer,2022,KKR,13.494652406417112,-1.244316095471234,3.6423832617806715,9.852269144636441,270.48963375204806,7.178228900255753,-8.422544995726987,57.068062827225134
14,Rohit Sharma,2022,MI,17.62566844919786,8.020553230644573,8.065810035255387,9.559858413942473,118.52322794805048,6.2265625,1.7939907306445733,75.13089005235602
15,Irfan Pathan,2011,DC,16.619521912350596,12.731965228873236,7.126824097995524,9.492697814355072,133.19674631825092,9.903277758760954,2.828687470112282,78.27225130890052
16,Virat Kohli,2022,RCB,16.524064171122994,6.302333231334153,7.426944903454549,9.097119267668445,122.48804031704927,15.20703125,-8.904698018665847,51.83246073298429
17,Rishabh Pant,2022,DC,17.62566844919786,9.188257343941252,8.53106767508502,9.094600774112841,106.60565735134912,12.301023017902809,-3.1127656739615563,61.51832460732984
18,Mahela Jayawardene,2012,DC,13.10909090909091,7.082704207920791,4.162792210078176,8.946298699012733,214.91100798530428,3.2144304281345626,3.8682737797862288,82.4607329842932
19,Rohit Sharma,2011,MI,17.542828685258964,17.18370928697183,8.82568304607597,8.717145639182995,98.77020955402163,8.357812025782193,8.825897261189636,84.03141361256544
20,Rishabh Pant,2018,DC,20.369149637442323,16.433080226225393,12.0812629723766,8.287886665065724,68.60116102112583,18.76690995065789,-2.3338297244324977,58.1151832460733
21,AB de Villiers,2018,RCB,14.937376400791036,4.817728843736912,6.915841866087134,8.021534534703903,115.9878246210154,14.616467927631575,-9.798739083894663,49.73821989528796
22,Robin Uthappa,2011,PWI,18.46613545816733,20.948591549295777,10.574854199769259,7.89128125839807,74.62307384408436,4.902906976744177,16.0456845725516,87.43455497382199
23,Shardul Thakur,2022,DC,11.842245989304812,1.8812999477895511,4.232317136860591,7.609928852444221,179.8052604840724,3.440460526315793,-1.559160578526242,67.80104712041884
24,MS Dhoni,2011,CSK,16.619521912350596,11.110255281690144,9.356027169699324,7.263494742651272,77.63439129564541,8.505315614617942,2.604939667072202,72.5130890052356
25,Prasidh Krishna,2022,RR,11.016042780748663,-0.1532088953550035,3.838339794178082,7.177702986570581,187.000197258658,15.151889296933746,-15.30509819228875,48.952879581151834
26,Yuvraj Singh,2011,PWI,14.772908366533864,15.280122139084504,8.05460491395923,6.718303452574634,83.40947227506237,10.896591243236884,4.3835308958476205,76.96335078534031
27,Vinay Kumar,2012,RCB,9.363636363636363,5.63095767938745,2.735801957292554,6.627834406343809,242.26294555702955,3.5355122324159023,2.0954454469715476,79.84293193717278
28,Rohit Sharma,2014,MI,20.054517133956384,18.87559177252412,13.584918634424481,6.469598499531903,47.623387917376256,14.200818452380958,4.674773320143164,71.46596858638743
29,Andre Russell,2022,KKR,13.219251336898397,4.5346483583262085,6.822455331549647,6.39679600534875,93.76090709993387,4.783470394736842,-0.24882203641063327,66.2303664921466
30,Harshal Patel,2022,RCB,11.842245989304812,7.256963968634317,5.478998199561318,6.363247789743494,116.13889178231476,2.9946994617224973,4.262264506911819,79.31937172774869
31,Rashid Khan,2022,GT,16.524064171122994,13.078757967018744,10.283703217922433,6.240360953200561,60.68204051556897,20.57162828947368,-7.492870322454936,48.16753926701571
32,Virat Kohli,2011,RCB,16.619521912350596,13.29467979753521,10.390899058762827,6.228622853587769,59.943059963950496,-0.0981586070387763,13.392838404573986,83.24607329842931
33,Yusuf Pathan,2011,KKR,19.389442231075698,25.72758582746478,13.30308295438651,6.086359276689189,45.75149457879833,2.4915667260136978,23.23601910145108,84.55497382198953
34,Washington Sundar,2022,SRH,9.63903743315508,0.1446148740669182,3.893635386321535,5.745402046833545,147.55881012940569,2.3823489832535927,-2.2377341091866745,65.18324607329842
35,Ravindra Jadeja,2022,CSK,17.62566844919786,16.170534067316993,11.92988560087707,5.695782848320791,47.74381782757451,21.825276614832543,-5.65474254751555,48.952879581151834
36,Saurabh Tiwary,2011,MI,13.849601593625499,15.631029929577466,8.191497531847189,5.65810406177831,69.07288978334593,1.7183554817275706,13.912674447849895,85.34031413612566
37,Marcus Stoinis,2022,LSG,10.46524064171123,-1.6635900470140328,5.065949944907474,5.399290696803756,106.58002458613653,14.023209479665072,-15.686799526679104,44.76439790575916
38,Axar Patel,2018,PBK,16.97429136453527,15.656819752827818,11.6391557225167,5.335135642018569,45.83782337147878,15.052679230150057,0.6041405226777616,62.04188481675392
39,Shahrukh Khan,2022,PBK,9.914438502673796,4.052738678090575,4.697523954146479,5.216914548527318,111.0566885757416,5.828125,-1.7753863219094246,64.3979057591623
40,Sanju Samson,2022,RR,15.422459893048128,12.984057527539782,10.23703809636331,5.1854217966848175,50.65353618764914,12.4375,0.5465575275397825,62.82722513089005
41,Hardik Pandya,2018,MI,14.937376400791036,11.987098868873066,9.758436633560994,5.178939767230043,53.07140848175158,22.74970942375012,-10.762610554877053,41.62303664921466
42,KL Rahul,2022,LSG,18.727272727272727,18.855071909424723,13.571537417005263,5.155735310267463,37.98932391998034,0.48046875,18.374603159424723,82.72251308900525
